Division,Season,Team,Club,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,16,SEMENIUK Kamil,Schiacciatore,1996,194,POL,POL,-,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,17,PLOTNYTSKYI Oleh,Schiacciatore,1997,194,UKR,UKR,-,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,20,ROPRET Gregor,Palleggiatore,1989,193,SLO,SLO,-,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,21,CARDENAS MORALES Julio Cesar,Schiacciatore,2000,197,CUB,CUB,-,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,23,MENGOZZI Stefano,Centrale,1985,202,RA,ITA,-,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,1,ZINGEL Aidan,Centrale,1990,207,AUS,AUS,-,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,4,MARTINEZ Javier,Schiacciatore,1995,191,ARG,ITA,dal 20/10/2022,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,5,CATANIA Damiano,Libero,2001,180,CT,ITA,-,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,7,SEDLACEK Marko,Schiacciatore,1996,202,CRO,CRO,-,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,8,ZANNI Michael,Palleggiatore,1998,193,MO,ITA,-,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,10,MATTEI Andrea,Centrale,1993,202,RM,ITA,-,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,11,DIRLIC Petar,Schiacciatore,1997,205,CRO,CRO,-,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,13,ROSSI Andrea,Centrale,1989,202,AR,ITA,-,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,15,STAFORINI Matteo,Libero,2003,192,BG,ITA,-,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,17,BARANOWICZ Michele,Palleggiatore,1989,196,CN,ITA,-,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,20,BAYRAM Efe,Schiacciatore,2002,194,TUR,TUR,-,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,22,GUTIERREZ Josè Miguel,Schiacciatore,2001,194,-,CUB,dal 08/09/2022,-,,,,
A1,2022/2023,Top Volley Cisterna,Cisterna,6,KALIBERDA Denys Viktorovic,Schiacciatore,1990,193,UKR,GER,dal 28/09/2022 al 15/03/2023,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,1,MOSSA DE REZENDE Bruno,Palleggiatore,1986,190,BRA,BRA,-,-,,,,
