Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,2,Francesca Scola,Palleggiatrice,ITA,183,2001,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,3,Elena Perinelli,Schiacciatrice,ITA,181,1995,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,4,Rebecca Piva,Schiacciatrice,ITA,186,2001,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,5,Alexandra Frantti,Schiacciatrice,USA,185,1996,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,7,Juliet Lohuis,Centrale,NED,190,1996,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,8,Courtney Buzzerio,Schiacciatrice,USA,196,2000,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,9,Laura Melandri,Centrale,ITA,186,1995,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,10,Adhuoljok John Majak Malual,Opposto,ITA,190,2000,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,11,Chiara De Bortoli,Libero,ITA,176,1997,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,14,Emiliya Dimitrova,Opposto,BUL,187,1991,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,16,Linda Mangani,Schiacciatrice,ITA,184,2000,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,18,Benedetta Maria Sartori,Centrale,ITA,187,2001,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,3,Magdalena Stysiak,Schiacciatrice,POL,203,2000,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,6,Averie Allard,Palleggiatrice,CAN,182,1999,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,7,Raphaela Folie,Centrale,ITA,186,1991,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,8,Alessia Orro,Palleggiatrice,ITA,180,1998,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,9,Letizia Camera,Palleggiatrice,ITA,175,1992,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,10,Beatrice Parrocchiale,Libero,ITA,167,1995,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,11,Edina Begic,Schiacciatrice,BIH,185,1992,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,12,Jordan Thompson,Opposto,USA,193,1997,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,14,Dana Rettke,Centrale,USA,203,1999,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,15,Jovana Stevanovic,Centrale,SRB,191,1992,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,16,Beatrice Negretti,Libero,ITA,170,1999,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,17,Myriam Sylla,Schiacciatrice,ITA,181,1995,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,18,Anna Davyskiba,Schiacciatrice,BLR,188,2000,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,23,Jordan Larson,Schiacciatrice,USA,187,1986,,,,
A1,Stagione2022/23,Vero Volley Milano,Milano,28,Sonia Candi,Centrale,ITA,187,1993,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,1,Laura Bovo,Centrale,ITA,192,1996,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,4,Bozana Butigan,Centrale,CRO,192,2000,,,,
