Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,C,Sant'Orsola Asystel Novara,Novara Trecate,15,Spasojevic Anja,-,-,6.3,5,5,5,-,-,13,8,7,12,-,1,28,2,0.68,0.5,21,4,-,12,0.57,-,-
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,C,Sant'Orsola Asystel Novara,Novara Trecate,18,De Carne Virginie,-,-,6.2,4,4,4,-,-,13,4,8,11,2,1,-,-,-,-,22,3,-,11,0.5,-,1
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,O,Scavolini Pesaro,Pesaro,3,Rosso Valeria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,O,Scavolini Pesaro,Pesaro,4,Berg Lindsey,-,-,5.9,1,3,2,-,-,-,-,-2,9,1,-,-,-,-,-,1,-,-,-,-,1,-
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,O,Scavolini Pesaro,Pesaro,6,Baldizzone Sara,-,-,-,*,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,O,Scavolini Pesaro,Pesaro,7,Dushkyevich Yevgeniya,-,-,-,6,2,1,-,-,3,1,2,9,1,-,2,-,1,1,4,-,-,2,0.5,-,1
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,O,Scavolini Pesaro,Pesaro,8,Rinieri Simona,-,-,6,2,4,3,-,-,10,4,3,13,-,1,23,4,0.52,0.39,19,2,1,7,0.37,-,2
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,O,Scavolini Pesaro,Pesaro,9,Centoni Nadia,-,-,-,4,*,*,-,-,7,2,4,3,-,-,1,-,-,-,15,2,1,7,0.47,-,-
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,O,Scavolini Pesaro,Pesaro,10,Mengarda Giorgete Cristina,-,-,5.5,-,*,-,-,-,2,1,-,4,-,1,4,-,0.5,0.25,7,2,-,1,0.14,-,-
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,O,Scavolini Pesaro,Pesaro,13,Sheilla Tavares De Castro,-,-,6.1,*,6,5,-,-,8,-,5,6,1,-,-,-,-,-,17,-,2,8,0.47,-,-
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,O,Scavolini Pesaro,Pesaro,14,Guiggi Martina,-,-,6.5,3,5,4,-,-,7,2,4,9,1,1,1,1,-,-,8,1,-,5,0.63,-,1
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,O,Scavolini Pesaro,Pesaro,15,Del Core Antonella,-,-,5.6,5,1,6,-,-,5,1,-3,9,-,1,10,2,0.3,0.2,17,3,3,3,0.18,-,1
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,O,Scavolini Pesaro,Pesaro,17,Puerari Ramona,L,-,-,*,*,*,-,-,-,-,-2,-,-,-,28,2,0.75,0.43,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,5,9/10/2004,18:00,632,1224,C,Grissin Bon Reggio Emilia,Reggio Emilia,1,Aldrich Erin,-,-,6.5,2,3,2,1,-,20,4,13,19,2,-,2,-,1,1,29,4,1,17,0.59,-,3
2004/2005,A1,Regular_Season,1st,1,-,5,9/10/2004,18:00,632,1224,C,Grissin Bon Reggio Emilia,Reggio Emilia,3,Roani Manuela,-,-,6,4,5,4,3,-,18,6,10,15,-,-,27,1,0.74,0.48,46,4,3,17,0.37,-,1
2004/2005,A1,Regular_Season,1st,1,-,5,9/10/2004,18:00,632,1224,C,Grissin Bon Reggio Emilia,Reggio Emilia,7,Golinelli Marzia,L,-,-,*,*,*,*,-,-,-,-,-,-,-,21,-,0.86,0.71,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,5,9/10/2004,18:00,632,1224,C,Grissin Bon Reggio Emilia,Reggio Emilia,9,Aricò Ramona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,5,9/10/2004,18:00,632,1224,C,Grissin Bon Reggio Emilia,Reggio Emilia,10,Baldelli Giorgia,-,-,-,3,4,3,2,-,3,1,-,14,-,-,-,-,-,-,9,1,2,3,0.33,-,-
2004/2005,A1,Regular_Season,1st,1,-,5,9/10/2004,18:00,632,1224,C,Grissin Bon Reggio Emilia,Reggio Emilia,11,Romanò Maria Pia,-,-,5.5,5,6,5,4,-,7,1,1,14,-,-,1,1,-,-,16,3,2,6,0.38,-,1
2004/2005,A1,Regular_Season,1st,1,-,5,9/10/2004,18:00,632,1224,C,Grissin Bon Reggio Emilia,Reggio Emilia,12,Bo Anna,-,-,-,*,*,*,*,-,-,-,-,2,-,-,7,-,0.71,0.57,1,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,5,9/10/2004,18:00,632,1224,C,Grissin Bon Reggio Emilia,Reggio Emilia,14,Betcheva Teodora Peeva,-,-,6,1,2,1,6,-,26,8,10,18,3,-,43,4,0.72,0.51,62,4,5,26,0.42,-,-
2004/2005,A1,Regular_Season,1st,1,-,5,9/10/2004,18:00,632,1224,C,Grissin Bon Reggio Emilia,Reggio Emilia,15,Poggiali Federica,-,-,-,-,*,-,*,-,1,-,1,-,-,-,-,-,-,-,1,-,-,1,1,-,-
2004/2005,A1,Regular_Season,1st,1,-,5,9/10/2004,18:00,632,1224,C,Grissin Bon Reggio Emilia,Reggio Emilia,18,Fledderus Riette,-,-,6.2,6,1,6,5,-,3,2,1,21,1,1,1,1,-,-,2,-,-,1,0.5,-,1
