Season	Serie	Team	No	Player	Role	Born	Height	Nat. Sport.	Note
2016-2017	A1	Liu Jo Nordmeccanica Modena	6	LEONARDI GIULIA	Libero	1987	165	ITA	
2016-2017	A1	Liu Jo Nordmeccanica Modena	7	MARCON FRANCESCA	Spiker	1983	180	ITA	
2016-2017	A1	Liu Jo Nordmeccanica Modena	9	BOSETTI CATERINA	Spiker	1994	180	ITA	
2016-2017	A1	Liu Jo Nordmeccanica Modena	10	FERRETTI FRANCESCA	Setter	1984	180	ITA	
2016-2017	A1	Liu Jo Nordmeccanica Modena	11	PETRUCCI ALESSANDRA	Setter	1983	185	ITA	
2016-2017	A1	Liu Jo Nordmeccanica Modena	13	OZSOY NERIMAN	Spiker	1988	188	TUR	
2016-2017	A1	Liu Jo Nordmeccanica Modena	14	BIANCHINI MARIKA	Spiker	1993	178	ITA	
2016-2017	A1	Liu Jo Nordmeccanica Modena	18	GARZARO ILARIA	Middleblocker	1986	190	ITA	
2016-2017	A1	Metalleghe Montichiari	1	BUSA BIANKA	Spiker	1994	188	SRB	
2016-2017	A1	Metalleghe Montichiari	2	PETRAUSKAITE VALDONE	Spiker	1984	181	LTU	from 28/02/2017
2016-2017	A1	Metalleghe Montichiari	3	DALIA LUDOVICA	Setter	1984	180	ITA	
2016-2017	A1	Metalleghe Montichiari	7	DOMENIGHINI GAIA	Spiker	2001	180	ITA	
2016-2017	A1	Metalleghe Montichiari	8	EFIMIENKO ZUZANNA	Middleblocker	1989	195	POL	
2016-2017	A1	Metalleghe Montichiari	9	BOLDINI JENNIFER	Setter	1999	187	ITA	
2016-2017	A1	Metalleghe Montichiari	10	MALAGURSKI SANJA	Spiker	1990	193	SRB	
2016-2017	A1	Metalleghe Montichiari	11	GRAVESTEIJN FLORE	Spiker	1987	189	NED	
2016-2017	A1	Metalleghe Montichiari	12	NIKOLIC JELENA	Spiker	1982	192	SRB	
2016-2017	A1	Metalleghe Montichiari	13	LUALDI GIUDITTA	Middleblocker	1995	186	ITA	
2016-2017	A1	Metalleghe Montichiari	16	RUZZINI JOLE	Libero	1984	162	ITA	
2016-2017	A1	Metalleghe Montichiari	17	GIOLI SIMONA	Middleblocker	1977	185	ITA	
2016-2017	A1	Metalleghe Montichiari	18	AQUILINO LETIZIA	Libero	2002	168	ITA	
2016-2017	A1	Pom? Casalmaggiore	1	BACCHI LUCIA	Spiker	1981	181	ITA	
2016-2017	A1	Pom? Casalmaggiore	2	GARCIA ZULETA LORENA ALEXANDRA	Middleblocker	1981	192	COL	from 09/01/2017
2016-2017	A1	Pom? Casalmaggiore	3	LLOYD CARLI	Setter	1989	178	USA	
2016-2017	A1	Pom? Casalmaggiore	4	PERIC KLARA	Setter	1998	184	CRO	
2016-2017	A1	Pom? Casalmaggiore	5	SIRRESSI IMMA	Libero	1990	175	ITA	
2016-2017	A1	Pom? Casalmaggiore	6	TURLEA CARMEN	Spiker	1975	185	ROM	
2016-2017	A1	Pom? Casalmaggiore	8	GIBBEMEYER LAUREN	Middleblocker	1988	188	USA	
2016-2017	A1	Pom? Casalmaggiore	9	BOSETTI LUCIA	Spiker	1989	175	ITA	
2016-2017	A1	Pom? Casalmaggiore	10	GIBERTINI GIULIA	Libero	1984	172	ITA	
2016-2017	A1	Pom? Casalmaggiore	12	GUERRA ANASTASIA	Spiker	1996	186	ITA	
2016-2017	A1	Pom? Casalmaggiore	13	FABRIS SAMANTA	Spiker	1992	189	CRO	
2016-2017	A1	Pom? Casalmaggiore	15	STEVANOVIC JOVANA	Middleblocker	1992	191	SRB	
2016-2017	A1	Pom? Casalmaggiore	16	TIROZZI VALENTINA	Spiker	1986	182	ITA	
2016-2017	A1	Pom? Casalmaggiore	18	SUSIC TAMARA	Middleblocker	1990	192	CRO	until 20/01/2017
2016-2017	A1	Saugella Team Monza	1	SMIRNOVA IRINA	Spiker	1990	188	RUS	until 24/01/2017
2016-2017	A1	Saugella Team Monza	3	ARCANGELI CHIARA	Libero	1983	167	ITA	
2016-2017	A1	Saugella Team Monza	5	BALBONI MARTINA	Setter	1991	180	ITA	
2016-2017	A1	Saugella Team Monza	6	TOMSIA BERENIKA	Spiker	1988	189	POL	from 20/01/2017 PROVENIENTE DA IMOCO VOLLEY CONEGLIANO
2016-2017	A1	Saugella Team Monza	7	DEVETAG FRANCESCA	Middleblocker	1986	186	ITA	
2016-2017	A1	Saugella Team Monza	8	CANDI SONIA	Middleblocker	1993	187	ITA	
2016-2017	A1	Saugella Team Monza	9	AELBRECHT FREYA	Middleblocker	1990	189	BEL	
2016-2017	A1	Saugella Team Monza	10	BEGIC EDINA	Spiker	1992	185	BIH	
2016-2017	A1	Saugella Team Monza	11	LUSSANA SILVIA	Libero	1988	169	ITA	
2016-2017	A1	Saugella Team Monza	13	DALL'IGNA STEFANIA	Setter	1984	175	ITA	
2016-2017	A1	Saugella Team Monza	15	NICOLETTI ANNA	Spiker	1996	189	ITA	
2016-2017	A1	Saugella Team Monza	16	SEGURA MARIA	Spiker	1992	185	ESP	
2016-2017	A1	Saugella Team Monza	17	BEZAREVIC MILICA	Spiker	1991	182	SRB	
2016-2017	A1	Saugella Team Monza	18	ECKERMAN HALEY	Spiker	1992	190	USA	
2016-2017	A1	Savino Del Bene Scandicci	1	CASILLO LUISA	Middleblocker	1988	188	ITA	from 25/01/2017 PROVENIENTE DA GOLEM SOFTWARE PALMI
2016-2017	A1	Savino Del Bene Scandicci	1	MORENO PINO KENNY	Spiker	1979	185	COL	until 31/12/2016
2016-2017	A1	Savino Del Bene Scandicci	2	CRISANTI LUCIA	Middleblocker	1986	187	ITA	
2016-2017	A1	Savino Del Bene Scandicci	3	ZAGO VALENTINA	Spiker	1990	187	ITA	
2016-2017	A1	Savino Del Bene Scandicci	4	HAVLICKOVA ANETA	Spiker	1987	193	CZE	
2016-2017	A1	Savino Del Bene Scandicci	5	FERREIRA DA SILVA ADENIZIA	Middleblocker	1986	187	BRA	
2016-2017	A1	Savino Del Bene Scandicci	7	LODA SARA	Spiker	1990	178	ITA	
2016-2017	A1	Savino Del Bene Scandicci	8	MERLO ENRICA	Libero	1988	170	ITA	
2016-2017	A1	Savino Del Bene Scandicci	9	CRUZ AUREA	Spiker	1982	183	PUR	
2016-2017	A1	Savino Del Bene Scandicci	10	GIAMPIETRI ALICE	Libero	1995	171	ITA	
2016-2017	A1	Savino Del Bene Scandicci	12	SCACCHETTI CHIARA	Setter	1995	175	ITA	
2016-2017	A1	Savino Del Bene Scandicci	13	ARRIGHETTI VALENTINA	Middleblocker	1985	189	ITA	
2016-2017	A1	Savino Del Bene Scandicci	14	MEIJNERS FLOORTJE	Spiker	1987	192	NED	
2016-2017	A1	Savino Del Bene Scandicci	17	RONDON GIULIA	Setter	1987	190	ITA	
2016-2017	A1	Sudtirol Bolzano	1	BERTONE FLORIANA	Middleblocker	1992	202	ITA	
2016-2017	A1	Sudtirol Bolzano	2	ZANCANARO ALESSIA	Libero	1998	168	ITA	
2016-2017	A1	Sudtirol Bolzano	3	BRUNO ELEONORA	Libero	1994	180	ITA	
2016-2017	A1	Sudtirol Bolzano	5	IKIC MATEA	Spiker	1989	185	CRO	from 07/02/2017
2016-2017	A1	Sudtirol Bolzano	6	MATUSZKOVA TEREZA	Spiker	1982	192	CZE	from 12/01/2017
2016-2017	A1	Sudtirol Bolzano	6	GROTHUES-BALKENSTEIN MARET	Spiker	1988	180	NED	until 02/12/2016
2016-2017	A1	Sudtirol Bolzano	7	SPINELLO NATASHA	Setter	1998	173	ITA	
2016-2017	A1	Sudtirol Bolzano	8	BAUER CHRISTINA	Middleblocker	1988	196	FRA	
2016-2017	A1	Sudtirol Bolzano	9	PAPA VALERIA	Spiker	1989	183	ITA	
2016-2017	A1	Sudtirol Bolzano	10	PINCERATO GIULIA	Setter	1987	182	ITA	
2016-2017	A1	Sudtirol Bolzano	11	POPOVIC-GAMMA SANJA	Spiker	1984	186	CRO	
2016-2017	A1	Sudtirol Bolzano	13	VRANKOVIC BRUNA ANA	Spiker	1998	187	CRO	until 29/01/2017 TRASFERITA A GOLEM SOFTWARE PALMI
2016-2017	A1	Sudtirol Bolzano	14	BARTSCH MICHELLE	Spiker	1990	192	USA	
2016-2017	A1	Sudtirol Bolzano	18	ZAMBELLI MARINA	Middleblocker	1990	187	ITA	
2016-2017	A1	Unet Yamamay Busto Arsizio	2	STUFI FEDERICA	Middleblocker	1988	185	ITA	
2016-2017	A1	Unet Yamamay Busto Arsizio	3	SIGNORILE NOEMI	Setter	1990	183	ITA	
2016-2017	A1	Unet Yamamay Busto Arsizio	4	CIALFI CATERINA	Setter	1995	180	ITA	
2016-2017	A1	Unet Yamamay Busto Arsizio	5	SPIRITO ILARIA	Libero	1994	174	ITA	
2016-2017	A1	Unet Yamamay Busto Arsizio	6	FIORIN VALENTINA	Spiker	1984	187	ITA	
2016-2017	A1	Unet Yamamay Busto Arsizio	7	WITKOWSKA AGATA	Libero	1989	170	POL	
2016-2017	A1	Unet Yamamay Busto Arsizio	8	MARTINEZ BRAYELIN	Spiker	1996	201	DOM	
2016-2017	A1	Unet Yamamay Busto Arsizio	10	SIMPSON TAYLOR	Spiker	1993	190	USA	from 21/09/2016 until 14/10/2016
2016-2017	A1	Unet Yamamay Busto Arsizio	11	VASILANTONAKI ANTHI	Spiker	1996	195	GRE	
2016-2017	A1	Unet Yamamay Busto Arsizio	13	DIOUF VALENTINA	Spiker	1993	202	ITA	
2016-2017	A1	Unet Yamamay Busto Arsizio	14	MONETA SERENA	Spiker	1990	178	ITA	
2016-2017	A1	Unet Yamamay Busto Arsizio	15	BERTI BEATRICE	Middleblocker	1996	193	ITA	
2016-2017	A1	Unet Yamamay Busto Arsizio	17	PISANI GIULIA	Middleblocker	1992	184	ITA	
2017-2018	A1	Foppapedretti Bergamo	1	STRUNJAK EMA	Middleblocker	1999	187	CRO	
2017-2018	A1	Foppapedretti Bergamo	2	IMPERIALI LUCIA	Libero	1999	162	ITA	
2017-2018	A1	Foppapedretti Bergamo	3	MALAGURSKI SANJA	Spiker	1990	193	SRB	
2017-2018	A1	Foppapedretti Bergamo	4	BATTISTA VALERIA	Spiker	2001	179	ITA	
2017-2018	A1	Foppapedretti Bergamo	5	POPOVIC MINA	Middleblocker	1994	187	SRB	
2017-2018	A1	Foppapedretti Bergamo	7	CARDULLO PAOLA	Libero	1982	162	ITA	
2017-2018	A1	Foppapedretti Bergamo	9	MARCON FRANCESCA	Spiker	1983	180	ITA	
2017-2018	A1	Foppapedretti Bergamo	10	PAGGI PAOLA	Middleblocker	1976	182	ITA	
2017-2018	A1	Foppapedretti Bergamo	13	BOLDINI JENNIFER	Setter	1999	187	ITA	
2017-2018	A1	Foppapedretti Bergamo	15	MALINOV OFELIA	Setter	1996	180	ITA	
2017-2018	A1	Foppapedretti Bergamo	17	SYLLA MIRIAM	Spiker	1995	181	ITA	
2017-2018	A1	Foppapedretti Bergamo	18	ACOSTA ALVARADO ROSLANDY	Spiker	1992	190	VEN	
2017-2018	A1	Igor Gorgonzola Novara	1	VASILANTONAKI ANTHI	Spiker	1996	195	GRE	
2017-2018	A1	Igor Gorgonzola Novara	3	CAMERA LETIZIA	Setter	1992	175	ITA	
2017-2018	A1	Igor Gorgonzola Novara	4	PLAK CELESTE	Spiker	1995	190	NED	
2017-2018	A1	Igor Gorgonzola Novara	5	GIBBEMEYER LAUREN	Middleblocker	1988	188	USA	
2017-2018	A1	Igor Gorgonzola Novara	7	ENRIGHT STEPHANIE	Spiker	1990	179	PUR	
2017-2018	A1	Igor Gorgonzola Novara	8	SKORUPA KATARZYNA	Setter	1984	184	POL	
2017-2018	A1	Igor Gorgonzola Novara	9	BONIFACIO SARA	Middleblocker	1996	185	ITA	
2017-2018	A1	Igor Gorgonzola Novara	10	CHIRICHELLA CRISTINA	Middleblocker	1994	195	ITA	
2017-2018	A1	Igor Gorgonzola Novara	11	SANSONNA STEFANIA	Libero	1982	175	ITA	
2017-2018	A1	Igor Gorgonzola Novara	12	PICCININI FRANCESCA	Spiker	1979	185	ITA	
2017-2018	A1	Igor Gorgonzola Novara	15	ZANNONI GIORGIA	Libero	1998	171	ITA	
2017-2018	A1	Igor Gorgonzola Novara	18	EGONU PAOLA	Spiker	1998	189	ITA	
2017-2018	A1	Il Bisonte Firenze	1	SOROKAITE INDRE	Spiker	1988	188	ITA	
2017-2018	A1	Il Bisonte Firenze	2	ALBERTI SARA	Middleblocker	1993	185	ITA	
2017-2018	A1	Il Bisonte Firenze	3	BECHIS MARTA	Setter	1989	181	ITA	until 26/01/2018 TRASFERITA A IMOCO VOLLEY CONEGLIANO
2017-2018	A1	Il Bisonte Firenze	5	BONCIANI FRANCESCA	Setter	1992	178	ITA	
2017-2018	A1	Il Bisonte Firenze	7	TAPP HANNAH	Middleblocker	1995	188	USA	
2017-2018	A1	Il Bisonte Firenze	8	SANTANA DALY	Spiker	1995	185	PUR	
2017-2018	A1	Il Bisonte Firenze	9	DI IULIO CHIARA	Spiker	1985	185	ITA	
2017-2018	A1	Il Bisonte Firenze	10	PARROCCHIALE BEATRICE	Libero	1995	167	ITA	
2017-2018	A1	Il Bisonte Firenze	11	OGBOGU CHIAKA	Middleblocker	1995	189	USA	from 15/01/2018
2017-2018	A1	Il Bisonte Firenze	12	PIETRELLI GIULIA	Spiker	1988	180	ITA	
2017-2018	A1	Il Bisonte Firenze	14	MILOS PROKOPIC IVANA	Middleblocker	1986	187	CRO	
2017-2018	A1	Il Bisonte Firenze	16	TIROZZI VALENTINA	Spiker	1986	182	ITA	
2017-2018	A1	Il Bisonte Firenze	18	DIJKEMA LAURA	Setter	1990	184	NED	from 16/01/2018
2017-2018	A1	Imoco Volley Conegliano	2	BRICIO SAMANTHA	Spiker	1994	188	MEX	
2017-2018	A1	Imoco Volley Conegliano	3	FIORI SILVIA	Libero	1994	162	ITA	
2017-2018	A1	Imoco Volley Conegliano	4	LEE SIMONE	Spiker	1996	188	USA	from 23/12/2017
2017-2018	A1	Imoco Volley Conegliano	5	DE KRUIJF ROBIN	Middleblocker	1991	193	NED	
2017-2018	A1	Imoco Volley Conegliano	6	CELLA ELISA	Spiker	1982	186	ITA	
2017-2018	A1	Imoco Volley Conegliano	7	FOLIE RAPHAELA	Middleblocker	1991	186	ITA	
2017-2018	A1	Imoco Volley Conegliano	8	EASY MEGAN	Spiker	1988	191	USA	
2017-2018	A1	Imoco Volley Conegliano	9	MELANDRI LAURA	Middleblocker	1995	186	ITA	
2017-2018	A1	Imoco Volley Conegliano	10	DE GENNARO MONICA	Libero	1987	173	ITA	
2017-2018	A1	Imoco Volley Conegliano	11	DANESI ANNA	Middleblocker	1996	196	ITA	
2017-2018	A1	Imoco Volley Conegliano	12	PAPAFOTIOU ATHINA	Setter	1989	181	GRE	
2017-2018	A1	Imoco Volley Conegliano	13	FABRIS SAMANTA	Spiker	1992	189	CRO	
2017-2018	A1	Imoco Volley Conegliano	14	WOLOSZ JOANNA	Setter	1990	181	POL	
2017-2018	A1	Imoco Volley Conegliano	15	HILL KIMBERLY	Spiker	1989	193	USA	
2017-2018	A1	Imoco Volley Conegliano	16	NICOLETTI ANNA	Spiker	1996	189	ITA	
2017-2018	A1	Imoco Volley Conegliano	18	BECHIS MARTA	Setter	1989	181	ITA	from 27/01/2018 PROVENIENTE DA IL BISONTE FIRENZE
2017-2018	A1	Lardini Filottrano	1	MELLI GIULIA	Spiker	1998	184	ITA	until 30/01/2018 TRASFERITA A GOLEM OLBIA
2017-2018	A1	Lardini Filottrano	3	BOSIO FRANCESCA	Setter	1997	180	ITA	
2017-2018	A1	Lardini Filottrano	5	FELIZIANI FEDERICA	Libero	1983	172	ITA	
2017-2018	A1	Lardini Filottrano	6	GAMBA NICOLE	Libero	1998	170	ITA	
2017-2018	A1	Lardini Filottrano	7	NEGRINI CHIARA	Spiker	1979	183	ITA	
2017-2018	A1	Lardini Filottrano	9	AGRIFOGLIO BEATRICE	Setter	1994	178	ITA	
2017-2018	A1	Lardini Filottrano	10	TOMSIA BERENIKA	Spiker	1988	189	POL	
2017-2018	A1	Lardini Filottrano	11	MITCHEM ANNIE	Spiker	1994	192	USA	
2017-2018	A1	Lardini Filottrano	12	MAZZARO ALESSIA	Middleblocker	1998	185	ITA	
2017-2018	A1	Lardini Filottrano	13	COGLIANDRO ASIA	Middleblocker	1996	184	ITA	
2017-2018	A1	Lardini Filottrano	14	TAYLOR NIKKI	Opposite	1995	194	USA	from 30/01/2018
2017-2018	A1	Lardini Filottrano	15	HUTINSKI SARA	Middleblocker	1991	188	SLO	
2017-2018	A1	Lardini Filottrano	17	SCUKA LANA	Spiker	1996	183	SLO	
2017-2018	A1	Liu Jo Nordmeccanica Modena	2	ABBOTT SYMONE	Spiker	1996	186	USA	from 23/12/2017
2017-2018	A1	Liu Jo Nordmeccanica Modena	3	GARZARO ILARIA	Middleblocker	1986	190	ITA	
2017-2018	A1	Liu Jo Nordmeccanica Modena	4	PIETERSEN JUDITH	Spiker	1989	188	NED	from 09/01/2018
2017-2018	A1	Liu Jo Nordmeccanica Modena	5	HEYRMAN LAURA	Middleblocker	1993	188	BEL	
2017-2018	A1	Liu Jo Nordmeccanica Modena	6	LEONARDI GIULIA	Libero	1987	165	ITA	
2017-2018	A1	Liu Jo Nordmeccanica Modena	7	MONTANO MADELAYNNE	Spiker	1983	185	COL	
2017-2018	A1	Liu Jo Nordmeccanica Modena	8	VESOVIC JOVANA	Spiker	1987	182	SRB	until 23/01/2018
2017-2018	A1	Liu Jo Nordmeccanica Modena	9	BOSETTI CATERINA	Spiker	1994	180	ITA	
2017-2018	A1	Liu Jo Nordmeccanica Modena	10	FERRETTI FRANCESCA	Setter	1984	180	ITA	
2017-2018	A1	Liu Jo Nordmeccanica Modena	11	MINGARDI CAMILLA	Spiker	1997	186	ITA	from 12/01/2018 PROVENIENTE DA SAB VOLLEY LEGNANO
2017-2018	A1	Liu Jo Nordmeccanica Modena	12	PISTOLESI AURORA	Spiker	1999	186	ITA	
2017-2018	A1	Liu Jo Nordmeccanica Modena	13	CALLONI RAFFAELLA	Middleblocker	1983	187	ITA	
2017-2018	A1	Liu Jo Nordmeccanica Modena	15	TOMIC MINA	Spiker	1994	191	CRO	until 13/01/2018 TRASFERITA A BARTOCCINI GIOIELLERIE PERUGIA
2017-2018	A1	Liu Jo Nordmeccanica Modena	16	PINCERATO GIULIA	Setter	1987	182	ITA	
2017-2018	A1	Liu Jo Nordmeccanica Modena	17	BARUN-SUSNJAR KATARINA	Spiker	1983	194	CRO	
2017-2018	A1	Liu Jo Nordmeccanica Modena	18	BISCONTI VERONICA	Libero	1991	174	ITA	
2017-2018	A1	myCicero Volley Pesaro	1	BOKAN TATJANA	Spiker	1988	186	MNE	
2017-2018	A1	myCicero Volley Pesaro	2	CAMBI CARLOTTA	Setter	1996	176	ITA	
2017-2018	A1	myCicero Volley Pesaro	3	OLIVOTTO ROSSELLA	Middleblocker	1991	184	ITA	
2017-2018	A1	myCicero Volley Pesaro	5	NIZETICH YAMILA	Spiker	1989	183	ARG	
2017-2018	A1	myCicero Volley Pesaro	6	ANGELONI VERONICA	Spiker	1986	186	ITA	from 09/03/2018
2017-2018	A1	myCicero Volley Pesaro	7	GHILARDI ALESSIA	Libero	1979	163	ITA	
2017-2018	A1	myCicero Volley Pesaro	8	BUSSOLI SILVIA	Spiker	1993	183	ITA	
2017-2018	A1	myCicero Volley Pesaro	9	AELBRECHT FREYA	Middleblocker	1990	189	BEL	
2017-2018	A1	myCicero Volley Pesaro	10	VAN HECKE LISE	Spiker	1992	192	BEL	
2017-2018	A1	myCicero Volley Pesaro	11	BALDI GLORIA	Spiker	1993	185	ITA	
2017-2018	A1	myCicero Volley Pesaro	12	CARRARO GIULIA	Setter	1994	175	ITA	
2017-2018	A1	myCicero Volley Pesaro	16	ARCIPRETE ALESSIA	Spiker	1997	180	ITA	
2017-2018	A1	myCicero Volley Pesaro	18	LAPI CHIARA	Middleblocker	1991	182	ITA	
2017-2018	A1	Pom? Casalmaggiore	1	MARTINEZ BRAYELIN	Spiker	1996	201	DOM	
2017-2018	A1	Pom? Casalmaggiore	2	CYR MEGAN	Setter	1990	182	CAN	from 18/10/2017 until 12/12/2017
2017-2018	A1	Pom? Casalmaggiore	3	NAPODANO FRANCESCA	Libero	1999	175	ITA	
2017-2018	A1	Pom? Casalmaggiore	5	SIRRESSI IMMA	Libero	1990	175	ITA	
2017-2018	A1	Pom? Casalmaggiore	6	GROTHUES-BALKENSTEIN MARET	Spiker	1988	180	NED	from 02/01/2018
2017-2018	A1	Pom? Casalmaggiore	7	GUIGGI MARTINA	Middleblocker	1984	188	ITA	
2017-2018	A1	Pom? Casalmaggiore	8	ZENG CHUNLEI	Spiker	1989	189	CHN	until 28/11/2017
2017-2018	A1	Pom? Casalmaggiore	9	PAVAN SARAH	Spiker	1986	196	CAN	until 03/01/2018
2017-2018	A1	Pom? Casalmaggiore	10	STARCEVIC ANA	Spiker	1986	180	CRO	
2017-2018	A1	Pom? Casalmaggiore	11	DREWS ANNIE	Spiker	1993	191	USA	from 17/01/2018 PROVENIENTE DA SAB VOLLEY LEGNANO
2017-2018	A1	Pom? Casalmaggiore	12	GUERRA ANASTASIA	Spiker	1996	186	ITA	
2017-2018	A1	Pom? Casalmaggiore	13	ZAGO VALENTINA	Spiker	1990	187	ITA	
2017-2018	A1	Pom? Casalmaggiore	14	LO BIANCO ELEONORA	Setter	1979	171	ITA	
2017-2018	A1	Pom? Casalmaggiore	15	STEVANOVIC JOVANA	Middleblocker	1992	191	SRB	
2017-2018	A1	Pom? Casalmaggiore	17	RONDON GIULIA	Setter	1987	190	ITA	
2017-2018	A1	Pom? Casalmaggiore	18	ZAMBELLI MARINA	Middleblocker	1990	187	ITA	
2017-2018	A1	Sab Volley Legnano	2	DEGRADI ALICE	Spiker	1996	181	ITA	
2017-2018	A1	Sab Volley Legnano	3	BARTESAGHI GIULIA	Spiker	1998	187	ITA	
2017-2018	A1	Sab Volley Legnano	5	LUSSANA SILVIA	Libero	1988	169	ITA	
2017-2018	A1	Sab Volley Legnano	6	PENCOVA JAROSLAVA	Middleblocker	1990	191	SVK	
2017-2018	A1	Sab Volley Legnano	7	CUMINO MARIA LUISA	Setter	1992	177	ITA	
2017-2018	A1	Sab Volley Legnano	8	OGOMS ALICIA	Middleblocker	1994	194	CAN	
2017-2018	A1	Sab Volley Legnano	9	MINGARDI CAMILLA	Spiker	1997	186	ITA	until 11/01/2018 TRASFERITA A LIU JO NORDMECCANICA MODENA
2017-2018	A1	Sab Volley Legnano	10	MARTINELLI MELISSA	Middleblocker	1993	185	ITA	
2017-2018	A1	Sab Volley Legnano	11	CONEO AMANDA	Spiker	1996	177	COL	
2017-2018	A1	Sab Volley Legnano	12	CECCHETTO GIADA	Libero	1991	163	ITA	until 27/01/2018 TRASFERITA A VOLLEY SOVERATO
2017-2018	A1	Sab Volley Legnano	14	CARACUTA VALERIA	Setter	1987	173	ITA	
2017-2018	A1	Sab Volley Legnano	16	NEWCOMBE SONJA	Spiker	1988	188	USA	until 12/12/2017
2017-2018	A1	Sab Volley Legnano	17	BARCELLINI CRISTINA	Spiker	1986	183	ITA	from 12/01/2018
2017-2018	A1	Sab Volley Legnano	18	DREWS ANNIE	Spiker	1993	191	USA	until 05/12/2017 TRASFERITA A POM? CASALMAGGIORE
2017-2018	A1	Saugella Team Monza	1	ORTOLANI SERENA	Spiker	1987	187	ITA	
2017-2018	A1	Saugella Team Monza	2	ORTHMANN HANNA	Spiker	1998	188	GER	
2017-2018	A1	Saugella Team Monza	3	ARCANGELI CHIARA	Libero	1983	167	ITA	
2017-2018	A1	Saugella Team Monza	5	BALBONI MARTINA	Setter	1991	180	ITA	
2017-2018	A1	Saugella Team Monza	6	DIXON TORI	Middleblocker	1992	191	USA	
2017-2018	A1	Saugella Team Monza	7	DEVETAG FRANCESCA	Middleblocker	1986	186	ITA	
2017-2018	A1	Saugella Team Monza	8	CANDI SONIA	Middleblocker	1993	187	ITA	
2017-2018	A1	Saugella Team Monza	10	BEGIC EDINA	Spiker	1992	185	BIH	
2017-2018	A1	Saugella Team Monza	11	BONVICINI ILARIA	Spiker	1997	165	ITA	
2017-2018	A1	Saugella Team Monza	12	HANCOCK MICHA DANIELLE	Setter	1992	180	USA	
2017-2018	A1	Saugella Team Monza	16	HAVELKOVA HELENA	Spiker	1988	188	CZE	
2017-2018	A1	Saugella Team Monza	17	LODA SARA	Spiker	1990	178	ITA	
2017-2018	A1	Saugella Team Monza	18	RASTELLI RACHELE	Spiker	1999	192	ITA	
2017-2018	A1	Savino Del Bene Scandicci	1	CARLINI LAUREN	Setter	1995	185	USA	
2017-2018	A1	Savino Del Bene Scandicci	3	SAMADOVA YELYZAVETA	Spiker	1995	185	AZE	
2017-2018	A1	Savino Del Bene Scandicci	4	BIANCHINI MARIKA	Spiker	1993	178	ITA	
2017-2018	A1	Savino Del Bene Scandicci	5	FERREIRA DA SILVA ADENIZIA	Middleblocker	1986	187	BRA	
2017-2018	A1	Savino Del Bene Scandicci	7	DI IULIO ISABELLA	Setter	1991	175	ITA	
2017-2018	A1	Savino Del Bene Scandicci	8	MERLO ENRICA	Libero	1988	170	ITA	
2017-2018	A1	Savino Del Bene Scandicci	9	PAPA VALERIA	Spiker	1989	183	ITA	
2017-2018	A1	Savino Del Bene Scandicci	10	MANCINI GIULIA	Middleblocker	1998	183	ITA	
2017-2018	A1	Savino Del Bene Scandicci	11	HAAK ISABELLE	Spiker	1999	194	SWE	
2017-2018	A1	Savino Del Bene Scandicci	13	ARRIGHETTI VALENTINA	Middleblocker	1985	189	ITA	
2017-2018	A1	Savino Del Bene Scandicci	16	BOSETTI LUCIA	Spiker	1989	175	ITA	
2017-2018	A1	Savino Del Bene Scandicci	17	FERRARA MARTINA	Libero	1999	168	ITA	
2017-2018	A1	Savino Del Bene Scandicci	18	DE LA CRUZ BETHANIA	Spiker	1989	190	DOM	
2017-2018	A1	Unet E-Work Busto Arsizio	1	PIANI VITTORIA	Spiker	1998	187	ITA	
2017-2018	A1	Unet E-Work Busto Arsizio	2	STUFI FEDERICA	Middleblocker	1988	185	ITA	
2017-2018	A1	Unet E-Work Busto Arsizio	5	SPIRITO ILARIA	Libero	1994	174	ITA	
2017-2018	A1	Unet E-Work Busto Arsizio	6	GENNARI ALESSIA	Spiker	1991	184	ITA	
2017-2018	A1	Unet E-Work Busto Arsizio	7	DALL'IGNA STEFANIA	Setter	1984	175	ITA	
2017-2018	A1	Unet E-Work Busto Arsizio	8	ORRO ALESSIA	Setter	1998	180	ITA	
2017-2018	A1	Unet E-Work Busto Arsizio	9	WILHITE SARA	Spiker	1995	186	USA	
2017-2018	A1	Unet E-Work Busto Arsizio	13	DIOUF VALENTINA	Spiker	1993	202	ITA	
2017-2018	A1	Unet E-Work Busto Arsizio	14	BARTSCH MICHELLE	Spiker	1990	192	USA	
2017-2018	A1	Unet E-Work Busto Arsizio	15	BERTI BEATRICE	Middleblocker	1996	193	ITA	
2017-2018	A1	Unet E-Work Busto Arsizio	16	NEGRETTI BEATRICE	Spiker	1999	170	ITA	
2017-2018	A1	Unet E-Work Busto Arsizio	17	CHAUSHEVA SILVANA	Spiker	1995	188	BUL	
2017-2018	A1	Unet E-Work Busto Arsizio	18	BOTEZAT ALEXANDRA	Middleblocker	1998	196	ITA	
2018-2019	A1	Banca Valsabbina Millenium Brescia	3	BIAVA GIULIA	Spiker	1988	178	ITA	
2018-2019	A1	Banca Valsabbina Millenium Brescia	4	RIVERO JESSICA	Spiker	1995	181	ESP	
2018-2019	A1	Banca Valsabbina Millenium Brescia	5	NORGINI MARIA CHIARA	Libero	1998	170	ITA	
