Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,3,Gargiulo Giovanni Maria,-,-,-,2,2,2 ,2,-,8,2,-5,16,1,1,2,-,0.50 ,0.50 ,9,1,2,5,0.56 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,4,Loeppky Eric,-,-,-,1,1,1 ,1,-,10,-,-4,20,4,-,21,2,0.43 ,0.29 ,26,4,3,10,0.38 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,5,Orduna Santiago,-,-,-,*,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,6,Bisotto Francesco,-,-,-,-,-,-,*,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,7,Balaso Fabio,L,-,-,*,*,*,*,-,-,-,-,-,-,-,24,-,0.46 ,0.25 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,8,Boninfante Mattia,-,-,-,6,6,6 ,6,-,3,3,2,13,1,-,-,-,-,-,2,-,-,1,0.50 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,9,Hossein Khanzadeh Poriya,-,-,-,*,-,-,*,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,12,Lagumdzija Adis,-,-,-,3,3,3 ,3,-,25,7,18,19,4,2,-,-,-,-,34,1,-,21,0.62 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,15,Dirlic Petar,-,-,-,*,*,*,*,-,1,-,-1,-,-,-,-,-,-,-,2,1,-,-,-,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,21,Bottolo Mattia,-,-,-,4,4,4 ,4,-,15,8,2,17,6,2,23,1,0.61 ,0.35 ,27,1,1,12,0.44 ,-,1,,,,
