Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,3,-,17,13/10/2024,17:00,1627 ,€ 12432 ,O,Sonepar Padova,Padova,3,1,3,8,8,16,14,21,18,25,8,6,16,14,20,21,27,25,8,5,16,13,18,21,25,23,8,6,16,13,21,16,25,18,-,-,-,-,-,-,-,-,64,23,-1,94,17,4,69,6,0.43 ,0.23 ,100,12,10,54,0.54 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,3,-,18,12/10/2024,20:30,1665 ,€ 13847 ,C,Yuasa Battery Grottazzolina,Grottazzolina,0,3,5,8,14,16,16,21,19,25,8,7,16,13,18,21,23,25,7,8,10,16,13,21,15,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,13,-10,59,10,5,59,12,0.36 ,0.17 ,71,9,6,30,0.42 ,-,4,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,3,-,18,12/10/2024,20:30,1665 ,€ 13847 ,O,Rana Verona,Verona,3,0,8,5,16,14,21,16,25,19,7,8,13,16,21,18,25,23,8,7,16,10,21,13,25,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,23,15,73,14,11,49,5,0.45 ,0.22 ,65,3,4,38,0.58 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,4,-,19,20/10/2024,16:00,3545 ,€ 29398 ,C,Itas Trentino,Trento,3,1,8,6,16,11,21,14,25,22,8,7,14,16,17,21,19,25,7,8,14,16,20,21,25,23,6,8,16,15,21,20,28,26,-,-,-,-,-,-,-,-,62,21,.,96,14,5,76,2,0.50 ,0.32 ,111,5,6,49,0.44 ,-,8,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,4,-,19,20/10/2024,16:00,3545 ,€ 29398 ,O,Valsa Group Modena,Modena,1,3,6,8,11,16,14,21,22,25,7,8,16,14,21,17,25,19,8,7,16,14,21,20,23,25,8,6,15,16,20,21,26,28,-,-,-,-,-,-,-,-,76,23,11,97,21,2,82,5,0.46 ,0.13 ,126,11,8,68,0.54 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,4,-,20,20/10/2024,18:00,3881 ,€ 28016 ,C,Sir Susa Vim Perugia,Perugia,3,1,3,8,10,16,16,21,19,25,8,4,16,7,21,11,25,15,8,6,16,8,21,13,25,16,7,8,16,14,21,16,25,18,-,-,-,-,-,-,-,-,73,32,22,93,20,11,60,5,0.55 ,0.33 ,97,6,6,52,0.54 ,-,10,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,4,-,20,20/10/2024,18:00,3881 ,€ 28016 ,O,Cisterna Volley,Cisterna,1,3,8,3,16,10,21,16,25,19,4,8,7,16,11,21,15,25,6,8,8,16,13,21,16,25,8,7,14,16,16,21,18,25,-,-,-,-,-,-,-,-,45,14,-15,74,14,5,73,11,0.37 ,0.25 ,92,5,10,34,0.37 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,4,-,21,19/10/2024,20:30,2169 ,€ 15255 ,C,Gas Sales Bluenergy Piacenza,Piacenza,3,1,8,5,16,14,21,18,29,31,6,8,12,16,20,21,25,23,6,8,12,16,21,18,25,21,7,8,16,11,21,15,25,18,-,-,-,-,-,-,-,-,80,30,6,103,19,11,83,7,0.41 ,0.20 ,110,14,6,60,0.55 ,-,9,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,4,-,21,19/10/2024,20:30,2169 ,€ 15255 ,O,Gioiella Prisma Taranto,Taranto,1,3,5,8,14,16,18,21,31,29,8,6,16,12,21,20,23,25,8,6,16,12,18,21,21,25,8,7,11,16,15,21,18,25,-,-,-,-,-,-,-,-,58,19,-10,94,11,7,84,13,0.30 ,0.10 ,105,10,9,45,0.43 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,4,-,22,20/10/2024,19:00,3046 ,€ 26127 ,C,Mint Vero Volley Monza,Monza,1,3,8,6,16,14,20,21,29,31,8,7,16,12,21,19,26,24,6,8,13,16,18,21,22,25,6,8,16,14,20,21,22,25,-,-,-,-,-,-,-,-,66,21,-10,100,24,2,83,8,0.40 ,0.24 ,121,5,10,56,0.46 ,-,8,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,4,-,22,20/10/2024,19:00,3046 ,€ 26127 ,O,Allianz Milano,Milano,3,1,6,8,14,16,21,20,31,29,7,8,12,16,19,21,24,26,8,6,16,13,21,18,25,22,8,6,14,16,21,20,25,22,-,-,-,-,-,-,-,-,75,31,.,104,21,6,76,5,0.42 ,0.24 ,124,11,8,59,0.48 ,-,10,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,4,-,23,20/10/2024,16:00,3677 ,€ 28796 ,C,Rana Verona,Verona,3,1,6,8,14,16,18,21,25,23,5,8,14,16,15,21,17,25,8,6,16,14,21,18,25,23,8,7,16,13,21,14,25,14,-,-,-,-,-,-,-,-,64,31,6,92,14,2,65,7,0.48 ,0.26 ,107,6,8,56,0.52 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,4,-,23,20/10/2024,16:00,3677 ,€ 28796 ,O,Cucine Lube Civitanova,Lube,1,3,8,6,16,14,21,18,23,25,8,5,16,14,21,15,25,17,6,8,14,16,18,21,23,25,7,8,13,16,14,21,14,25,-,-,-,-,-,-,-,-,65,25,1,87,22,6,78,2,0.49 ,0.24 ,118,5,6,51,0.43 ,-,8,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,4,-,24,20/10/2024,18:00,1708 ,€ 13691 ,C,Yuasa Battery Grottazzolina,Grottazzolina,2,3,5,8,12,16,19,21,28,26,4,8,14,16,18,21,20,25,7,8,16,14,21,19,28,30,8,7,16,15,21,20,25,20,5,4,0,0,0,0,16,18,78,25,3,118,23,5,92,9,0.52 ,0.35 ,125,5,12,61,0.49 ,-,12,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,4,-,24,20/10/2024,18:00,1708 ,€ 13691 ,O,Sonepar Padova,Padova,3,2,8,5,16,12,21,19,26,28,8,4,16,14,21,18,25,20,8,7,14,16,19,21,30,28,7,8,15,16,20,21,20,25,4,5,0,0,0,0,18,16,89,33,6,118,26,8,95,6,0.45 ,0.29 ,129,12,12,69,0.53 ,-,12,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,5,-,25,27/10/2024,18:00,4346 ,€ 57778 ,C,Itas Trentino,Trento,1,3,8,5,16,10,21,17,25,19,7,8,15,16,19,21,22,25,7,8,16,13,20,21,24,26,5,8,11,16,16,21,19,25,-,-,-,-,-,-,-,-,65,24,-4,91,12,1,75,10,0.39 ,0.19 ,100,8,10,52,0.52 ,-,12,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,5,-,25,27/10/2024,18:00,4346 ,€ 57778 ,O,Sir Susa Vim Perugia,Perugia,3,1,5,8,10,16,17,21,19,25,8,7,16,15,21,19,25,22,8,7,13,16,21,20,26,24,8,5,16,11,21,16,25,19,-,-,-,-,-,-,-,-,72,25,17,94,19,9,79,1,0.47 ,0.11 ,130,6,12,54,0.42 ,-,10,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,5,-,26,27/10/2024,18:00,2524 ,€ 15798 ,C,Cucine Lube Civitanova,Lube,3,0,8,6,16,10,21,11,25,14,8,4,16,12,21,16,25,19,8,5,16,11,21,16,25,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,23,14,74,19,6,39,2,0.59 ,0.33 ,70,3,5,38,0.54 ,-,8,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,5,-,26,27/10/2024,18:00,2524 ,€ 15798 ,O,Cisterna Volley,Cisterna,0,3,6,8,10,16,11,21,14,25,4,8,12,16,16,21,19,25,5,8,11,16,16,21,19,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,8,-21,53,14,1,55,7,0.38 ,0.25 ,68,9,8,21,0.31 ,-,5,,,,,,,,,,,
