Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,Trasporti Bressan Offanengo,-,, ,,,,
A2,2024/25,U.S. Esperia Cremona,-,, ,,,,
A2,2024/25,U.S. Esperia Cremona,-,, ,,,,
A2,2024/25,U.S. Esperia Cremona,-,, ,,,,
A2,2024/25,U.S. Esperia Cremona,-,, ,,,,
A2,2024/25,U.S. Esperia Cremona,-,, ,,,,
A2,2024/25,U.S. Esperia Cremona,-,, ,,,,
A2,2024/25,U.S. Esperia Cremona,-,, ,,,,
A2,2024/25,U.S. Esperia Cremona,-,, ,,,,
A2,2024/25,U.S. Esperia Cremona,-,, ,,,,
A2,2024/25,U.S. Esperia Cremona,-,, ,,,,
A2,2024/25,U.S. Esperia Cremona,-,, ,,,,
A2,2024/25,U.S. Esperia Cremona,-,, ,,,,
