Season,Division,Championship,Phase,Day,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,
2025/2026,SuperLega,Regular_Season,1st,3,16,29/10/2025 ,20:30 ,1.900 ,€ 12.537 ,O,Valsa Group Modena ,Modena,3,1,5,8,16,15,20,21,25,23,8,4,16,10,21,15,25,17,8,6,16,14,21,19,23,25,8,4,16,13,21,20,25,23,-,-,-,-,-,-,-,-,66,30,6,97,19,8,67,7,0.37,0.12,98,10,7,46,0.47,-,12,,,,Rana Verona ,Verona
2025/2026,SuperLega,Regular_Season,1st,3,17,29/10/2025 ,20:30 ,1.061 ,€ 4.502 ,C,Cisterna Volley ,Cisterna,3,2,8,7,16,13,21,19,25,22,5,8,11,16,17,21,22,25,8,6,15,16,21,18,25,21,4,8,13,16,17,21,22,25,2,5,0,0,0,0,15,13,78,26,9,109,28,11,85,2,0.58,0.28,116,9,8,55,0.47,-,12,,,,Rinascita Lagonegro ,Lagonegro
2025/2026,SuperLega,Regular_Season,1st,3,17,29/10/2025 ,20:30 ,1.061 ,€ 4.502 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,2,3,7,8,13,16,19,21,22,25,8,5,16,11,21,17,25,22,6,8,16,15,18,21,21,25,8,4,16,13,21,17,25,22,5,2,0,0,0,0,13,15,65,17,-,107,22,2,81,11,0.41,0.28,107,6,12,55,0.51,-,8,,,,Romeo Sorrento ,Massa Lubrense
2025/2026,SuperLega,Regular_Season,1st,3,18,29/10/2025 ,20:30 ,1.861 ,€ 10.663 ,C,Vero Volley Monza ,Monza,3,1,8,6,16,15,18,21,22,25,6,8,16,13,21,18,25,20,5,8,16,12,21,15,25,22,7,8,15,16,20,21,27,25,-,-,-,-,-,-,-,-,59,23,-1,98,21,5,66,6,0.59,0.32,98,8,8,46,0.47,-,8,,,,Sarlux Sarroch ,Sarroch
2025/2026,SuperLega,Regular_Season,1st,3,18,29/10/2025 ,20:30 ,1.861 ,€ 10.663 ,O,MA Acqua S.Bernardo Cuneo ,Cuneo,1,3,6,8,15,16,21,18,25,22,8,6,13,16,18,21,20,25,8,5,12,16,15,21,22,25,8,7,16,15,21,20,25,27,-,-,-,-,-,-,-,-,61,19,-14,93,27,5,77,6,0.47,0.25,99,12,8,48,0.48,-,8,,,,Sav Trebaseleghe ,Trebaseleghe
2025/2026,SuperLega,Regular_Season,1st,4,19,2/11/2025 ,18:00 ,2.369 ,€ 21.178 ,C,Cucine Lube Civitanova ,Lube,3,1,5,8,16,13,21,14,25,17,6,8,16,15,21,19,25,22,5,8,11,16,17,21,23,25,8,4,16,12,21,17,25,21,-,-,-,-,-,-,-,-,67,28,5,97,27,6,61,8,0.44,0.2,92,7,6,51,0.55,-,10,,,,Sir Susa Scai Perugia ,Perugia
2025/2026,SuperLega,Regular_Season,1st,4,19,2/11/2025 ,18:00 ,2.369 ,€ 21.178 ,O,Cisterna Volley ,Cisterna,1,3,8,5,13,16,14,21,17,25,8,6,15,16,19,21,22,25,8,5,16,11,21,17,25,23,4,8,12,16,17,21,21,25,-,-,-,-,-,-,-,-,49,18,-11,86,25,6,70,7,0.4,0.23,87,5,10,37,0.43,-,6,,,,Sonepar Padova ,Padova
2025/2026,SuperLega,Regular_Season,1st,4,20,2/11/2025 ,19:00 ,5.057 ,€ 49.777 ,C,Rana Verona ,Verona,3,1,5,8,12,16,16,21,21,25,8,5,16,9,21,13,25,15,7,8,16,15,21,19,25,21,6,8,16,12,21,15,25,18,-,-,-,-,-,-,-,-,63,25,5,95,23,9,53,5,0.45,0.21,86,5,3,53,0.62,-,1,,,,Stadium Mirandola ,Mirandola
2025/2026,SuperLega,Regular_Season,1st,4,20,2/11/2025 ,19:00 ,5.057 ,€ 49.777 ,O,Itas Trentino ,Trento ,1,3,8,5,16,12,21,16,25,21,5,8,9,16,13,21,15,25,8,7,15,16,19,21,21,25,8,6,12,16,15,21,18,25,-,-,-,-,-,-,-,-,49,14,-18,80,27,5,72,9,0.38,0.18,88,6,1,41,0.47,-,3,,,,Sviluppo Sud Catania ,Acicastello
2025/2026,SuperLega,Regular_Season,1st,4,21,2/11/2025 ,19:30 ,2.943 ,€ 19.101 ,C,Allianz Milano ,Milano,3,1,5,8,15,16,18,21,22,25,8,7,16,13,21,17,25,19,8,7,16,15,21,18,25,21,8,5,14,16,20,21,28,26,-,-,-,-,-,-,-,-,74,29,10,99,14,4,73,9,0.44,0.18,111,9,9,55,0.5,-,15,,,,Terni Volley Academy ,Terni Volley Academy
