Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,1,Fiore Gaia,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,2,Colombino Carola,-,-,-,*,*,5,6,5,14,3,10,14,1,-,-,-,-,-,36 ,2 ,1,12,0.33 ,-,2 ,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,3,Bassi Maria Teresa,-,-,-,5,6,-,-,-,5,2,-1,4,-,-,-,-,-,-,15 ,4 ,2,4,0.27 ,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,4,Avenia Giorgia,-,-,-,2,3,2,3,2,4,3,3,17,1,-,1,-,-,-,3 ,-,-,1,0.33 ,-,3 ,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,5,Sturniolo Emma,-,-,-,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,1 ,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,7,Morandini Aurora,L,-,-,*,*,*,*,*,-,-,-3,-,-,-,26,3,0.46 ,0.27 ,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,8,Gianfico Lara,-,-,-,1,2,1,2,1,9,4,3,20,2,1,-,-,-,-,16 ,1 ,3,7,0.44 ,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,9,Joly Jessica,-,-,-,6,1,-,-,-,4,-,-2,5,1,-,13,2,0.31 ,0.15 ,11 ,2 ,1,2,0.18 ,-,2 ,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,10,Bulaich Simian Daniela Soledad,-,-,-,3,4,3,4,3,10,3,-1,20,1,1,28,6,0.43 ,0.32 ,27 ,3 ,1,9,0.33 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,12,Perfetto Beatrice,-,-,-,*,-,6,1,6,11,7,4,9,2,1,23,4,0.52 ,0.35 ,27 ,1 ,-,8,0.30 ,-,2 ,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,14,Roserba Gaia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,15,Maruotti Ilaria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,18,Babatunde Maria Adelaide,-,-,-,-,*,4,5,4,11,8,8,9,1,1,1,1,-,-,9 ,1 ,-,4,0.44 ,-,6 ,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,C,Narconon Volley Melendugno,Narconon Volley Melendugno,23,Riparbelli Chiara,-,-,-,4,5,-,-,-,1,-,-1,5,-,-,-,-,-,-,6 ,2 ,-,1,0.17 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,O,Valsabbina Millenium Brescia,Millenium Brescia,2,Vittorini Arianna,-,-,-,-,-,*,*,1,1,-,-3,6,1,-,16,1,0.38 ,0.25 ,10 ,1 ,1,1,0.10 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,O,Valsabbina Millenium Brescia,Millenium Brescia,4,Modestino Dalila,-,-,-,2,2,2,2,2,7,4,3,13,2,-,-,-,-,-,19 ,2 ,-,4,0.21 ,-,3 ,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,O,Valsabbina Millenium Brescia,Millenium Brescia,5,Michieletto Francesca,-,-,-,1,1,1,1,-,7,2,-6,12,3,1,19,2,0.53 ,0.32 ,19 ,2 ,6,6,0.32 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,O,Valsabbina Millenium Brescia,Millenium Brescia,7,Orlandi Lea Andrea,-,-,-,5,5,5,5,5,13,4,8,15,2,1,2,-,0.50 ,-,19 ,1 ,2,9,0.47 ,-,3 ,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,O,Valsabbina Millenium Brescia,Millenium Brescia,8,Schillkowski Caterina,-,-,-,-,-,*,*,3,-,-,-3,12,3,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,O,Valsabbina Millenium Brescia,Millenium Brescia,9,Veglia Tiziana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,O,Valsabbina Millenium Brescia,Millenium Brescia,10,Parrocchiale Beatrice,L,-,-,*,*,*,*,*,-,-,-3,-,-,-,27,3,0.59 ,0.41 ,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,O,Valsabbina Millenium Brescia,Millenium Brescia,11,Prandi Vittoria,-,-,-,3,3,3,3,-,1,-,1,8,-,-,1,-,-,-,2 ,-,-,1,0.50 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,O,Valsabbina Millenium Brescia,Millenium Brescia,12,Struka Katrina,-,-,-,-,-,*,-,*,1,1,-,4,1,1,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,O,Valsabbina Millenium Brescia,Millenium Brescia,13,Arici Elena,-,-,-,*,*,*,*,*,1,-,1,-,-,-,10,-,0.40 ,0.20 ,1 ,-,-,1,1.00 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,O,Valsabbina Millenium Brescia,Millenium Brescia,16,Amoruso Giorgia,-,-,-,4,4,4,4,4,24,11,13,21,3,4,18,2,0.61 ,0.44 ,48 ,5 ,1,19,0.40 ,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,1,-,4229,1/3/2026 ,17:00 ,,-,O,Valsabbina Millenium Brescia,Millenium Brescia,18,Kavalenka Julia,-,-,-,6,6,6,6,6,30,12,18,19,3,4,1,-,1.00 ,1.00 ,59 ,2 ,7,25,0.42 ,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,1,Martinez Ortiz Regla Flavia,-,-,-,2,2,2,2,-,18,4,7,18,2,1,27,1,0.44 ,0.22 ,46 ,5 ,3,16,0.35 ,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,3,Gamba Nicole,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,8,1,0.50 ,0.38 ,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,5,Dell'Orto Francesca,-,C,-,1,1,1,1,-,-,-,-1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,6,Giani Margherita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,7,Busetti Nicole,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,8,Fumagalli Carolina,-,-,-,-,-,*,-,-,1,1,1,1,-,-,2,-,0.50 ,0.50 ,3 ,-,-,1,0.33 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,9,Dell'Amico Gaia,-,-,-,*,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,10,Grosse Scharmann Lena,-,-,-,4,4,4,4,-,27,10,21,17,1,-,-,-,-,-,55 ,3 ,2,25,0.45 ,-,2 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,11,Pizzolato Valeria,-,-,-,3,3,3,3,-,4,3,1,13,1,1,3,-,-,-,9 ,1 ,1,2,0.22 ,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,12,Favaretto Federica,-,-,-,*,*,*,-,-,-,-,-,1,-,-,-,-,-,-,3 ,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,13,Pistolesi Aurora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,16,Mangani Linda,-,-,-,5,5,5,5,-,11,5,7,15,3,1,40,-,0.65 ,0.35 ,22 ,1 ,-,9,0.41 ,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,C,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,17,Brandi Margherita,-,-,-,6,6,6,6,-,10,5,8,13,-,1,-,-,-,-,13 ,2 ,-,7,0.54 ,-,2 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,O,Olio Pantaleo Volley Fasano,Il Podio Fasano,1,Gazzerro Marta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,O,Olio Pantaleo Volley Fasano,Il Podio Fasano,2,Provaroni Claudia,-,-,-,6,5,6,5,-,8,2,-1,12,1,-,36,3,0.61 ,0.44 ,29 ,4 ,1,8,0.28 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,O,Olio Pantaleo Volley Fasano,Il Podio Fasano,3,Del Freo Aurora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,O,Olio Pantaleo Volley Fasano,Il Podio Fasano,5,Salinas Candela Sol,-,-,-,3,2,3,2,-,19,10,13,16,-,1,24,2,0.67 ,0.42 ,37 ,2 ,2,17,0.46 ,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,O,Olio Pantaleo Volley Fasano,Il Podio Fasano,7,Negro Maria Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,O,Olio Pantaleo Volley Fasano,Il Podio Fasano,8,Pixner Amelie joyce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,O,Olio Pantaleo Volley Fasano,Il Podio Fasano,9,Muzi Margherita,-,C,-,2,1,2,1,-,2,-,1,23,1,-,-,-,-,-,3 ,-,-,1,0.33 ,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,O,Olio Pantaleo Volley Fasano,Il Podio Fasano,10,Piacentini Federica,-,-,-,4,3,4,3,-,12,5,10,11,2,1,-,-,-,-,16 ,-,-,9,0.56 ,-,2 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,O,Olio Pantaleo Volley Fasano,Il Podio Fasano,12,Korhonen Piia,-,-,-,5,4,5,4,-,17,2,11,11,-,-,-,-,-,-,46 ,5 ,1,15,0.33 ,-,2 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,O,Olio Pantaleo Volley Fasano,Il Podio Fasano,16,Soleti Adelaide,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,O,Olio Pantaleo Volley Fasano,Il Podio Fasano,17,Franceschini Laura,-,-,-,1,6,1,6,-,6,-,-1,14,3,-,-,-,-,-,15 ,1 ,3,6,0.40 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4233,4/3/2026 ,20:00 ,,-,O,Olio Pantaleo Volley Fasano,Il Podio Fasano,18,Vittorio Federica,L,-,-,*,*,*,*,-,-,-,-4,-,-,-,24,4,0.63 ,0.54 ,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,2,Vittorini Arianna,-,-,-,-,-,*,-,-,-,-,-3,2,-,-,3,2,0.33 ,0.33 ,1 ,-,1,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,3,Olivotto Rossella,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,4,Modestino Dalila,-,-,-,2,2,2,2,2,9,4,8,18,-,1,-,-,-,-,9 ,1 ,-,3,0.33 ,-,5 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,5,Michieletto Francesca,-,-,-,1,1,1,1,1,7,3,1,20,-,2,18,4,0.61 ,0.44 ,20 ,2 ,-,5,0.25 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,7,Orlandi Lea Andrea,-,-,-,5,5,5,5,5,11,7,7,14,3,-,1,-,1.00 ,-,12 ,1 ,-,6,0.50 ,-,5 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,8,Schillkowski Caterina,-,-,-,-,-,*,*,-,1,1,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,9,Veglia Tiziana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,10,Parrocchiale Beatrice,-,C,-,*,*,*,*,*,-,-,-2,-,-,-,23,2,0.65 ,0.39 ,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,11,Prandi Vittoria,-,-,-,3,3,3,3,3,2,1,1,22,1,-,-,-,-,-,3 ,-,-,1,0.33 ,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,12,Struka Katrina,-,-,-,-,-,*,*,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,13,Arici Elena,-,-,-,*,*,*,*,*,-,-,-2,2,-,-,13,2,0.62 ,0.38 ,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,16,Amoruso Giorgia,-,-,-,4,4,4,4,4,18,11,6,11,4,1,18,-,0.67 ,0.44 ,40 ,4 ,4,15,0.38 ,-,2 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,C,Valsabbina Millenium Brescia,Millenium Brescia,18,Kavalenka Julia,-,-,-,6,6,6,6,6,23,5,10,10,3,1,-,-,-,-,47 ,5 ,5,22,0.47 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,1,Ristori Tomberli Virginia,-,-,-,-,*,1,1,1,9,6,2,12,1,3,20,3,0.45 ,0.20 ,16 ,2 ,1,6,0.38 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,2,Cosi Francesca,-,-,-,2,5,-,-,-,1,-,-2,5,-,-,-,-,-,-,6 ,2 ,1,-,-,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,3,Zeni Beatrice,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,4,Guerra Giada,-,-,-,*,3,3,3,3,1,1,-5,12,6,-,-,-,-,-,1 ,-,-,-,-,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,5,Monza Sofia,-,C,-,6,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1 ,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,7,Colombo Emily Cheyenne,-,-,-,-,-,-,*,*,1,1,1,6,-,1,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,8,Marconato Giulia,-,-,-,5,2,2,2,2,9,6,4,21,2,-,-,-,-,-,14 ,2 ,1,4,0.29 ,-,5 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,9,Laporta Rebecca,L,-,-,*,*,*,*,*,-,-,-4,-,-,-,21,4,0.52 ,0.29 ,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,10,Pamio Alice,-,-,-,1,4,4,4,4,16,7,4,14,3,2,33,2,0.58 ,0.39 ,45 ,3 ,4,14,0.31 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,13,Giuliani Dominika,-,-,-,4,1,-,-,-,3,-,1,4,-,-,18,-,0.56 ,0.33 ,10 ,1 ,1,3,0.30 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,16,Iob Greta,-,-,-,-,-,5,5,5,6,2,4,3,2,-,-,-,-,-,4 ,-,-,3,0.75 ,-,3 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,17,Andrich Erica,-,-,-,*,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,4 ,1 ,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4235,4/3/2026 ,20:00 ,,-,O,Itas Trentino,Trentino Volley,23,Lazda Irbe,-,-,-,3,6,6,6,6,18,1,6,12,1,-,-,-,-,-,53 ,5 ,6,18,0.34 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,C,SMI Roma Volley,Roma Volley Club,1,Perovic Nikoleta,-,-,-,5,4,4,3,5,30,6,18,13,-,-,-,-,-,-,68 ,3 ,9,27,0.40 ,-,3 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,C,SMI Roma Volley,Roma Volley Club,3,Mason Chiara,-,-,-,-,*,5,4,6,9,4,3,11,1,1,14,1,0.57 ,0.50 ,25 ,2 ,2,8,0.32 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,C,SMI Roma Volley,Roma Volley Club,5,Cantoni Martina,-,-,-,-,*,*,6,-,1,-,-1,5,2,-,1,-,-,-,3 ,-,-,1,0.33 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,C,SMI Roma Volley,Roma Volley Club,7,Consoli Claudia,-,-,-,1,6,6,*,1,4,1,1,10,1,-,-,-,-,-,12 ,1 ,1,4,0.33 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,C,SMI Roma Volley,Roma Volley Club,8,Biesso Chiara,-,-,-,*,-,*,5,-,1,1,1,2,-,-,-,-,-,-,1 ,-,-,-,-,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,C,SMI Roma Volley,Roma Volley Club,11,Baratella Federica,-,-,-,*,-,-,*,*,1,1,1,4,-,1,2,-,1.00 ,0.50 ,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,C,SMI Roma Volley,Roma Volley Club,13,Guidi Ludovica,-,-,-,4,3,3,2,4,4,3,4,14,-,-,1,-,-,-,9 ,-,-,2,0.22 ,-,2 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,C,SMI Roma Volley,Roma Volley Club,14,Zannoni Giorgia,-,C,-,-,*,*,*,*,-,-,-,-,-,-,26,-,0.73 ,0.42 ,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,C,SMI Roma Volley,Roma Volley Club,17,Bosso Teresa Maria,-,-,-,3,2,2,1,3,26,10,13,21,4,1,44,-,0.57 ,0.41 ,57 ,5 ,4,25,0.44 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,C,SMI Roma Volley,Roma Volley Club,18,Pecorari Carolina,-,-,-,6,5,-,-,-,2,1,-,4,-,-,12,1,0.33 ,0.17 ,8 ,-,1,1,0.13 ,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,C,SMI Roma Volley,Roma Volley Club,22,Guiducci Gaia,-,-,-,2,1,1,*,2,1,-,1,22,-,-,-,-,-,-,4 ,-,-,1,0.25 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,O,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,1,Bovo Laura,-,-,-,3,2,2,2,3,12,5,10,19,1,-,1,1,-,-,11 ,-,-,6,0.55 ,-,6 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,O,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,2,Romanin Silvia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,O,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,3,Fiorio Cristina,-,-,-,5,4,4,4,5,19,6,11,18,-,1,40,-,0.65 ,0.40 ,52 ,4 ,4,17,0.33 ,-,1 ,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,O,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,4,Bozzoli Giulia,-,-,-,-,-,-,*,*,1,-,-,3,1,-,4,-,0.25 ,0.25 ,1 ,-,-,1,1.00 ,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,O,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,5,Andoniu Sorina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,O,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,6,Sposetti Perissinotto Celeste,-,-,-,*,*,*,*,*,-,-,-2,-,-,-,9,2,0.56 ,0.33 ,-,-,-,-,-,-,-,
2025/2026,A2,Pool_Promozione,2nd,2,-,4231,4/3/2026 ,20:30 ,,-,O,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,8,Maggipinto Marianna,-,C,-,*,*,*,*,*,-,-,-1,-,-,-,22,1,0.55 ,0.36 ,-,-,-,-,-,-,-,
