Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,8,Pace Domenico,L,-,-,*,*,*,*,-,-,-,-4,-,-,-,32,4,0.31 ,0.13 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,9,Mandiraci Ramazan Efe,-,-,-,*,-,*,*,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,10,Comparoni Francesco,-,-,-,*,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,12,Galassi Gianluca,-,-,-,3,4,4 ,5,-,6,1,-3,8,2,-,-,-,-,-,7,-,-,4,0.57 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,13,Simon Robertlandy,-,-,-,6,1,1 ,2,-,16,9,12,27,1,7,2,-,1.00 ,1.00 ,10,-,-,9,0.90 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,14,Travica Dragan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,15,Andringa Robbert,-,-,-,-,*,*,*,-,2,1,1,4,1,-,3,-,0.67 ,0.33 ,2,-,-,2,1.00 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,20,Bergmann Lukas Felipe,-,-,-,5,6,6 ,1,-,9,1,-5,7,2,-,20,3,0.25 ,0.10 ,17,1,1,7,0.41 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,22,Gutierrez Josè Miguel,-,-,-,2,3,3 ,4,-,14,3,2,13,6,-,16,2,0.31 ,0.19 ,26,1,3,14,0.54 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,23,Bovolenta Alessandro,-,-,-,4,5,5 ,6,-,19,8,8,18,3,1,1,1,-,-,28,1,4,18,0.64 ,-,-,,,,,,,,
