Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,17,Bianca Lapini,Libero,ITA,183,2002,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,19,Beatrice Agrifoglio,Palleggiatrice,ITA,178,1994,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,1,Erblira Bici,Opposto,ALB,185,1995,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,4,Alice Feduzzi,Libero,ITA,164,2006,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,5,Federica Carletti,Schiacciatrice,ITA,184,2000,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,6,Gaia Giovannini,Schiacciatrice,ITA,182,2001,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,7,Chiara De Bortoli,Libero,ITA,176,1997,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,8,Sonia Candi,Centrale,ITA,187,1993,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,9,Valentina Bartolucci,Palleggiatrice,ITA,181,2003,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,11,Nyadholi Thokbuom,Centrale,CAN,188,2000,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,14,Bozana Butigan,Centrale,CRO,192,2000,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,16,Tsvetomira Mitkova,Centrale,BUL,187,2004,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,19,Adelina Ungureanu,Schiacciatrice,ROM,187,2000,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,20,Mikaela Stoyanova,Opposto,BUL,194,2005,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,21,Loveth Oghosasere Omoruyi,Schiacciatrice,ITA,184,2002,,,
A1,2025/2026,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,22,Raquel Lazàro Castellanos,Palleggiatrice,ESP,185,2000,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,1,Kamerynn Miner,Palleggiatrice,USA,183,2003,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,2,Juliette Gelin,Libero,FRA,165,2001,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,4,Francesca Bosio,Palleggiatrice,ITA,180,1997,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,6,Nicole Modesti,Centrale,ITA,188,2004,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,7,Elena Pietrini,Schiacciatrice,ITA,188,2000,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,10,Benedetta Maria Sartori,Centrale,ITA,187,2001,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,11,Anna Danesi,Centrale,ITA,196,1996,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,14,Hena Kurtagic,Centrale,SRB,195,2004,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,15,Emma Cagnin,Schiacciatrice,ITA,186,2002,,,
