Division,Season,Team,Club,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,5 ,SESTO Nicola,Centrale,1987,198,CZ,ITA,-,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,6 ,SPEROTTO Lorenzo,Palleggiatore,1999,190,VE,ITA,-,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,7 ,CATELLANI Mattia,Palleggiatore,1999,188,RE,ITA,-,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,8 ,MAIOCCHI Matteo,Schiacciatore,1998,192,MI,ITA,-,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,9 ,GASPARINI Andrea,Schiacciatore,1996,200,CO,ITA,-,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,10 ,BONOLA Paolo,Centrale,1992,200,SO,ITA,-,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,11 ,TORCHIA Ernesto,Libero,1998,180,CZ,ITA,-,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,13 ,POCHINI Filippo,Libero,1989,185,PG,ITA,-,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,14 ,VOLPE Nicolò,Centrale,2003,193,TO,ITA,-,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,15 ,MARKS Christoph,Schiacciatore,1997,200,GER,GER,-,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,16 ,GUERRINI Francesco,Schiacciatore,2003,188,PG,ITA,-,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,17 ,SURACI Antonino,Schiacciatore,1996,200,VA,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,1 ,MENGOZZI Stefano,Centrale,1985,202,RA,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,2 ,CHIELLA Leonardo,Libero,2006,180,GR,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,7 ,BOVOLENTA Alessandro,Schiacciatore,2004,207,RM,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,8 ,ARASOMWAN Martins,Centrale,1995,200,NGR,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,9 ,BARTOLUCCI Filippo,Centrale,2003,197,PU,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,10 ,GOI Riccardo,Libero,1992,173,MN,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,11 ,MANCINI Filippo,Palleggiatore,2004,188,RN,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,12 ,ROSSETTI Lorenzo,Schiacciatore,2006,195,RN,ITA,dal 10/12/2023,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,14 ,ORIOLI Mattia,Schiacciatore,2004,190,FC,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,15 ,RAPTIS Alexandros,Schiacciatore,2000,198,GRE,GRE,dal 25/03/2024,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,16 ,RUSSO Antonino,Palleggiatore,2004,185,NA,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,17 ,FERI Jan,Schiacciatore,2004,194,GO,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,18 ,GROTTOLI Lorenzo,Centrale,2000,194,RA,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,24 ,MENICHINI Lorenzo,Centrale,2005,199,GE,ITA,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,77 ,FALARDEAU Evan,Schiacciatore,1999,196,CAN,CAN,-,-
A2,2023/2024,Consar Ravenna,Ravenna Robur,99 ,BENAVIDEZ Felipe,Schiacciatore,1997,194,ARG,POR,dal 24/11/2023,proveniente da Abba Pineto
A2,2023/2024,Consar Ravenna,Ravenna Robur,6 ,PANCIOCCO Marco Rocco,Schiacciatore,1999,200,RM,ITA,fino al 23/11/2023,trasferito a Abba Pineto
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,1 ,ERATI Alex,Centrale,1994,202,MI,ITA,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,2 ,BRAGHINI Mattia,Libero,2004,187,BS,ITA,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,4 ,SARZI SARTORI Tommaso,Schiacciatore,2004,199,BS,ITA,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,5 ,TIBERTI Simone,Palleggiatore,1980,182,BS,ITA,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,6 ,BETTINZOLI Andrea,Schiacciatore,2003,190,BS,ITA,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,7 ,FERRI Stefano,Schiacciatore,2000,200,PU,ITA,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,8 ,COMINETTI Roberto,Schiacciatore,1997,190,BG,ITA,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,10 ,FRANZONI Andrea,Libero,1989,186,BS,ITA,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,11 ,GHIRARDI Pietro,Palleggiatore,2005,196,BS,ITA,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,12 ,CANDELI Nicola,Centrale,1993,200,BS,ITA,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,13 ,KLAPWIJK Niels,Schiacciatore,1985,200,NED,NED,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,15 ,MIJATOVIC Dane,Centrale,1992,202,SLO,SLO,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,16 ,PELLEGRI Lorenzo,Palleggiatore,2004,187,BS,ITA,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,17 ,GAVILAN Abrahan Alfonso,Schiacciatore,1995,199,CUB,CUB,-,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,18 ,PESARESI Nicola,Libero,1991,190,AN,ITA,dal 28/12/2023,-
A2,2023/2024,Consoli Sferc Brescia,Brescia Atlantide,9 ,MALUAL Dhieu John Majak,Centrale,1999,199,RM,ITA,fino al 22/02/2024,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,1 ,ZAMAGNI Matteo,Centrale,1989,195,FC,ITA,-,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,2 ,ZORZI Enrico,Palleggiatore,1990,182,PD,ITA,-,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,5 ,TIOZZO Nicola,Schiacciatore,1993,198,VE,ITA,-,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,6 ,PEDRO HENRIQUE Ferreira Silva,Schiacciatore,1996,200,BRA,BRA,dal 14/09/2023,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,7 ,SETTE Felice,Schiacciatore,1996,187,BA,ITA,-,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,8 ,LAMPRECHT Egon,Libero,1980,185,BZ,ITA,-,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,9 ,BARONE Rocco,Centrale,1987,198,RC,ITA,-,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,10 ,BAROTTO Tommaso,Schiacciatore,2005,212,RO,ITA,-,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,11 ,GARNICA Fernando Gabriel,Palleggiatore,1980,190,ARG,ITA,-,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,13 ,BELLEI Giacomo,Schiacciatore,1988,202,VR,ITA,-,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,14 ,CHARALAMPIDIS Sokratis,Schiacciatore,1997,198,GRE,GRE,dal 26/09/2023,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,15 ,SPERANDIO Matteo,Centrale,1992,200,TV,ITA,-,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,16 ,MORGESE Davide,Libero,1996,172,RE,ITA,-,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,17 ,ECCHER Mattia,Centrale,2003,201,MB,ITA,-,-
A2,2023/2024,Delta Group Porto Viro,Porto Viro,18 ,CHILOIRO Gabriele,Schiacciatore,2004,203,MI,ITA,-,-
A2,2023/2024,Emma Villas Siena,Siena,1 ,COPELLI Riccardo,Centrale,1996,198,CR,ITA,-,-
A2,2023/2024,Emma Villas Siena,Siena,2 ,TRILLINI Stefano,Centrale,1999,190,MC,ITA,-,-
A2,2023/2024,Emma Villas Siena,Siena,3 ,NEVOT Thomas,Palleggiatore,1995,192,FRA,FRA,-,-
A2,2023/2024,Emma Villas Siena,Siena,4 ,BONAMI Federico,Libero,1993,183,FI,ITA,-,-
A2,2023/2024,Emma Villas Siena,Siena,5 ,TALLONE Alessio,Schiacciatore,1999,189,PU,ITA,-,-
A2,2023/2024,Emma Villas Siena,Siena,6 ,COSER Martin,Libero,2004,187,TN,ITA,-,-
A2,2023/2024,Emma Villas Siena,Siena,8 ,KRAUCHUK ESQUIVEL Matheus,Schiacciatore,1997,201,BRA,BRA,-,-
A2,2023/2024,Emma Villas Siena,Siena,9 ,MILAN Sebastiano,Schiacciatore,1995,203,TV,ITA,-,-
A2,2023/2024,Emma Villas Siena,Siena,10 ,GONZI Azaria,Palleggiatore,2000,193,SI,ITA,-,-
A2,2023/2024,Emma Villas Siena,Siena,12 ,ACUTI Alessandro,Centrale,2000,199,BZ,ITA,-,-
A2,2023/2024,Emma Villas Siena,Siena,13 ,PIEROTTI Marco,Schiacciatore,1996,193,PU,ITA,-,-
A2,2023/2024,Emma Villas Siena,Siena,15 ,PELLEGRINI Federico,Schiacciatore,2004,190,SI,ITA,-,-
A2,2023/2024,Emma Villas Siena,Siena,18 ,IVANOV Mathia,Centrale,2005,197,PU,ITA,-,-
A2,2023/2024,Emma Villas Siena,Siena,22 ,PICUNO Mattia,Schiacciatore,1999,188,TA,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,-,ALLIK Karli,Schiacciatore,1996,-,EST,EST,dal 03/11/2023,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,1 ,GABBRIELLINI Lorenzo,Libero,2003,185,PI,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,2 ,COSCIONE Manuel,Palleggiatore,1980,188,CN,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,3 ,PARODI Simone,Schiacciatore,1986,195,IM,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,4 ,BRUCINI Nicolas,Schiacciatore,2004,197,BS,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,5 ,CARGIOLI Antonio,Centrale,1994,200,MI,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,6 ,RUSSO Giacomo,Centrale,2005,200,NA,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,7 ,COLLI Leonardo,Schiacciatore,1996,195,PI,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,8 ,MATTEINI Alessio,Centrale,2005,195,PO,ITA,dal 19/07/2023,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,11 ,PETRATTI Nicholas,Schiacciatore,2002,196,MO,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,13 ,GATTO Riccardo,Schiacciatore,2003,194,VR,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,14 ,GIANNINI Francesco,Palleggiatore,2003,189,FI,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,15 ,LORETI Luca,Libero,2005,190,RM,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,17 ,MATI Pardo,Centrale,2006,203,GR,ITA,-,-
A2,2023/2024,Kemas Lamipel Santa Croce,Santa Croce,23 ,LAWRENCE Klistan,Schiacciatore,2003,201,CUB,PUR,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,2 ,MAGLIANO Lorenzo,Schiacciatore,2005,201,TO,ITA,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,3 ,MONGUZZI Dario,Centrale,1984,204,MB,ITA,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,4 ,BUTTI Luca,Libero,1991,184,CO,ITA,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,5 ,GIANOTTI Francesco,Palleggiatore,2003,195,MB,ITA,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,6 ,OTTAVIANI Giuseppe,Schiacciatore,1991,196,VT,ITA,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,7 ,AGUENIER Jonas Bastien Baptiste,Centrale,1992,202,FRA,FRA,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,9 ,PEDRON Matteo,Palleggiatore,1992,189,PD,ITA,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,10 ,QUAGLIOZZI Francesco,Schiacciatore,2003,192,RM,ITA,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,11 ,GALLIANI Andrea,Schiacciatore,1988,204,MB,ITA,dal 22/12/2023,-
A2,2023/2024,Pool Libertas Cantù,Cantù,16 ,BACCO Andrea,Schiacciatore,2003,185,MB,ITA,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,17 ,PICCHIO Matteo,Libero,2000,182,MB,ITA,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,23 ,ROSSI Gianluca,Centrale,2003,202,MB,ITA,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,32 ,GAMBA Kristian,Schiacciatore,2000,190,AO,ITA,-,-
A2,2023/2024,Pool Libertas Cantù,Cantù,22 ,BAKIRI Redi,Schiacciatore,2000,194,ALB,ALB,fino al 23/01/2024,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,2 ,CODARIN Lorenzo,Centrale,1996,200,UD,ITA,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,3 ,GOTTARDO Mattia,Schiacciatore,2001,192,PD,ITA,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,5 ,SOTTILE Daniele,Palleggiatore,1979,189,ME,ITA,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,6 ,COLANGELO Edoardo,Palleggiatore,2001,186,PR,ITA,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,7 ,GIORDANO Simone,Libero,2003,184,CN,ITA,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,8 ,BRISTOT Leonardo,Schiacciatore,2002,197,FE,ITA,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,9 ,GIACOMINI Federico,Schiacciatore,2000,195,MC,ITA,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,11 ,BOTTO Iacopo,Schiacciatore,1987,193,SP,ITA,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,12 ,JENSEN Mads Kyed,Schiacciatore,1999,211,DEN,DEN,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,13 ,ANDREOPOULOS Charalampos,Schiacciatore,2001,192,GRE,GRE,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,15 ,STAFORINI Matteo,Libero,2003,193,BG,ITA,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,17 ,COPPA Alessandro,Centrale,2004,196,CN,ITA,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,19 ,DUKIC Marin,Schiacciatore,2000,194,BEL,ITA,dal 23/03/2024,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,23 ,CIOFFI Massimiliano,Centrale,1992,198,MI,ITA,-,-
A2,2023/2024,Puliservice Acqua S.Bernardo Cuneo,Cuneosport,90 ,VOLPATO Marco,Centrale,1990,201,VI,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,1 ,FABI Tommaso,Centrale,1996,200,MC,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,3 ,BROCCATELLI Vittorio,Libero,2005,173,PG,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,4 ,BERTOLI Matteo,Schiacciatore,1988,196,TN,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,5 ,BENEDICENTI Alberto,Libero,2001,180,TO,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,6 ,DEL VECCHIO Francesco,Schiacciatore,1987,193,BA,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,7 ,MARSHALL Leonel,Schiacciatore,1979,199,CUB,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,8 ,PATRIARCA Stefano,Centrale,1987,206,IS,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,10 ,CANTAGALLI Diego,Schiacciatore,1999,203,PA,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,11 ,FALCONE Claudio,Schiacciatore,2005,195,PE,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,12 ,TOGNONI Gabriele,Centrale,2000,203,AL,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,13 ,DONATELLI Pietro,Schiacciatore,2006,192,PE,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,14 ,LAPKOV Trifon,Schiacciatore,1996,200,BUL,-,dal 15/01/2024,-
A2,2023/2024,Sieco Service Ortona,Ortona,16 ,DI GIULIO Matteo,Schiacciatore,2006,180,CH,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,17 ,DIMITROV Dobromir,Palleggiatore,1991,198,BUL,BUL,dal 05/12/2023,-
A2,2023/2024,Sieco Service Ortona,Ortona,18 ,LANCI Edoardo,Palleggiatore,2005,190,CH,ITA,-,-
A2,2023/2024,Sieco Service Ortona,Ortona,15 ,FERRATO Leonardo,Palleggiatore,2001,196,PD,ITA,fino al 18/12/2023,trasferito a Belluno Volley
A2,2023/2024,Tinet Prata di Pordenone,Prata,1 ,BALDAZZI Alberto,Schiacciatore,1998,199,FE,ITA,-,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,2 ,KATALAN Nicolò,Centrale,1998,200,TS,ITA,-,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,3 ,ALBERINI Alessio,Palleggiatore,1998,185,VE,ITA,-,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,4 ,SIST Diego,Libero,2005,187,-,ITA,-,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,5 ,AIELLO Alex Francesco Maria,Libero,2002,180,MB,ITA,dal 19/09/2023,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,6 ,LUCCONI Manuele,Schiacciatore,1999,194,PU,ITA,-,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,7 ,SCOPELLITI Simone,Centrale,1994,205,RC,ITA,-,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,8 ,DE ANGELIS Carlo,Libero,1996,190,LT,ITA,-,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,9 ,PEGORARO Andrea,Centrale,2003,198,VE,ITA,-,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,10 ,BELLANOVA Giuseppe,Palleggiatore,2003,192,BR,ITA,-,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,12 ,TERPIN Jernej,Schiacciatore,1996,194,GO,ITA,-,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,14 ,PETRAS Michal,Schiacciatore,1996,191,SVK,SVK,-,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,17 ,IANNACCONE Dario,Schiacciatore,2001,198,RM,ITA,-,-
A2,2023/2024,Tinet Prata di Pordenone,Prata,18 ,TRUOCCHIO Ranieri,Schiacciatore,2004,196,PT,ITA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,1 ,PINELLI Riccardo,Palleggiatore,1991,193,MO,ITA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,2 ,SPIGNESE Edoardo,Libero,2003,180,NA,ITA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,3 ,ARGENTA Andrea,Schiacciatore,1996,205,VR,ITA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,4 ,CANUTO Bruno,Schiacciatore,1990,195,BRA,BRA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,5 ,LYUTSKANOV Gordan,Schiacciatore,1997,196,BUL,BUL,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,6 ,PRESTA Luca,Centrale,1995,200,CS,ITA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,7 ,ROSSINI Salvatore,Libero,1986,184,LT,ITA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,8 ,BIASOTTO Morgan,Schiacciatore,2003,205,GE,ITA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,9 ,SPAGNUOLO DE VITO Luca,Palleggiatore,1998,190,BZ,ITA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,10 ,CHIAPELLO Luca,Schiacciatore,2002,200,CN,ITA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,11 ,SCHIOPPA Francesco,Schiacciatore,2000,200,CE,ITA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,12 ,GATTO Mario,Centrale,2005,200,AV,ITA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,14 ,MARRA Alberto,Centrale,1998,203,LE,ITA,-,-
A2,2023/2024,WOW Green House Aversa,Aversa,15 ,AGRUSTI Marinfranco,Centrale,1999,200,BA,ITA,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,3 ,CUBITO Marco,Centrale,1992,202,ME,ITA,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,4 ,VECCHI Riccardo,Schiacciatore,1996,185,FM,ITA,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,5 ,LUSETTI Matteo,Palleggiatore,2002,190,MO,ITA,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,6 ,CANELLA Andrea,Centrale,1998,200,PD,ITA,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,7 ,MATTEI Andrea,Centrale,1993,202,RM,ITA,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,8 ,NIELSEN Rasmus Breuning,Schiacciatore,1994,198,DEN,DEN,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,10 ,FERRAGUTI Fabrizio,Schiacciatore,1995,195,MO,ITA,dal 02/12/2023,proveniente da Wimore Salsomaggiore Terme
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,11 ,MITKOV Aleksandar,Schiacciatore,1996,199,BUL,BUL,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,12 ,FORESI Diego,Libero,2007,172,FM,ITA,dal 27/01/2024,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,13 ,FEDRIZZI Michele,Schiacciatore,1991,192,TN,ITA,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,15 ,MARCHIANI Manuele,Palleggiatore,1989,185,AN,ITA,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,16 ,ROMITI Andrea,Palleggiatore,2007,183,MC,ITA,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,18 ,ROMITI Roberto,Libero,1983,183,FM,ITA,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,44 ,MARCHISIO Andrea,Libero,1990,186,CN,ITA,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,77 ,CATTANEO Claudio,Schiacciatore,1997,192,SV,ITA,-,-
A2,2023/2024,Yuasa Battery Grottazzolina,Grottazzolina,9 ,BELLOMO Matteo,Schiacciatore,2001,192,FC,ITA,fino al 20/12/2023,-
A3,2023/2024,Belluno Volley,Belluno,1 ,REYES LEON Hector Alexey,Schiacciatore,2000,192,CUB,ITA,-,-
A3,2023/2024,Belluno Volley,Belluno,2 ,FERRATO Leonardo,Palleggiatore,2001,196,PD,ITA,dal 19/12/2023,proveniente da Sieco Service Ortona
A3,2023/2024,Belluno Volley,Belluno,3 ,STUFANO Alessandro,Centrale,2002,198,BA,ITA,-,-
A3,2023/2024,Belluno Volley,Belluno,4 ,SCHIRO Andrea,Schiacciatore,2001,203,VI,ITA,-,-
A3,2023/2024,Belluno Volley,Belluno,5 ,FRACCARO Elia,Libero,2005,175,BL,ITA,-,-
A3,2023/2024,Belluno Volley,Belluno,6 ,BUCKO Bartosz,Schiacciatore,1995,198,POL,POL,-,-
A3,2023/2024,Belluno Volley,Belluno,7 ,MACCABRUNI Filippo,Palleggiatore,1999,195,MI,ITA,-,-
A3,2023/2024,Belluno Volley,Belluno,8 ,GUOLLA Stefano Antonio,Schiacciatore,2002,192,GER,ITA,-,-
A3,2023/2024,Belluno Volley,Belluno,9 ,BISI Fabio,Schiacciatore,1994,200,MO,ITA,-,-
A3,2023/2024,Belluno Volley,Belluno,10 ,MARTINEZ Gonzalo,Schiacciatore,2002,187,TV,ITA,-,-
A3,2023/2024,Belluno Volley,Belluno,11 ,ORTO Simone,Libero,2004,184,CT,ITA,-,-
A3,2023/2024,Belluno Volley,Belluno,12 ,MOZZATO Matteo,Centrale,2002,197,TV,ITA,-,-
A3,2023/2024,Belluno Volley,Belluno,14 ,DE COL Andrea,Centrale,2003,203,BL,ITA,-,-
A3,2023/2024,Belluno Volley,Belluno,15 ,ANTONACI Piergiorgio,Centrale,1995,195,LE,ITA,-,-
A3,2023/2024,Belluno Volley,Belluno,18 ,MARTINEZ Ignacio,Palleggiatore,1998,182,ARG,ITA,-,-
A3,2023/2024,CUS Cagliari,"Cagliari Cus	",2 ,ENNA Alessandro,Schiacciatore,1999,188,OR,ITA,-,-
A3,2023/2024,CUS Cagliari,"Cagliari Cus	",3 ,AMMENDOLA Daniele,Libero,1990,185,OG,ITA,-,-
A3,2023/2024,CUS Cagliari,"Cagliari Cus	",5 ,CALARCO Simone,Schiacciatore,1995,198,RA,ITA,-,-
A3,2023/2024,CUS Cagliari,"Cagliari Cus	",6 ,VITALI Luca,Libero,1996,180,SS,ITA,-,-
A3,2023/2024,CUS Cagliari,"Cagliari Cus	",7 ,AMBROSE Ionut,Centrale,2004,210,MC,ITA,-,-
A3,2023/2024,CUS Cagliari,"Cagliari Cus	",8 ,MARINELLI Michele,Schiacciatore,1992,195,RM,ITA,-,-
A3,2023/2024,CUS Cagliari,"Cagliari Cus	",9 ,KINDGARD Martin Alberto,Palleggiatore,1986,193,ARG,ITA,-,-
A3,2023/2024,CUS Cagliari,"Cagliari Cus	",10 ,MUCCIONE Riccardo,Palleggiatore,1993,186,CA,ITA,-,-
A3,2023/2024,CUS Cagliari,"Cagliari Cus	",11 ,SANNA Giuseppe,Centrale,2007,200,CA,ITA,-,-
A3,2023/2024,CUS Cagliari,"Cagliari Cus	",12 ,SARTIRANI Marco,Centrale,1986,205,BG,ITA,-,-
A3,2023/2024,CUS Cagliari,"Cagliari Cus	",13 ,BUSCH Slawomir,Schiacciatore,1998,191,POL,POL,-,-
A3,2023/2024,CUS Cagliari,"Cagliari Cus	",14 ,SCIARRETTI Gabriele,Centrale,2004,193,TO,ITA,dal 03/11/2023,-
