Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2021/2022,A1,Regular_Season,1st,4,-,25,3/11/2021,20:30,2957,30179,C,Leo Shoes PerkinElmer Modena,Modena,1,3,8,16,21,25,7,15,18,20,8,16,19,21,7,15,21,25,7,11,14,20,8,16,21,25,7,13,16,23,8,16,21,25,-,-,-,-,-,-,-,-,59,24,-5,90,12,5,74,10,0.3,0.19,100,8,14,47,0.47,-,7
2021/2022,A1,Regular_Season,1st,4,-,25,3/11/2021,20:30,2957,30179,O,Gas Sales Bluenergy Piacenza,PiacenzaYou,3,1,7,15,18,20,8,16,21,25,7,15,21,25,8,16,19,21,8,16,21,25,7,11,14,20,8,16,21,25,7,13,16,23,-,-,-,-,-,-,-,-,72,30,8,94,20,10,78,7,0.5,0.31,96,6,7,48,0.5,-,14
2021/2022,A1,Regular_Season,1st,4,-,26,3/11/2021,20:30,947,5589,C,Consar RCM Ravenna,Ravenna Robur,1,3,3,10,13,17,8,16,21,25,5,14,18,19,8,16,21,25,8,16,21,25,6,9,15,19,7,9,12,14,8,16,21,25,-,-,-,-,-,-,-,-,48,14,-12,76,20,4,74,7,0.36,0.27,91,6,6,38,0.42,-,6
2021/2022,A1,Regular_Season,1st,4,-,26,3/11/2021,20:30,947,5589,O,Vero Volley Monza,Monza Vero Volley,3,1,8,16,21,25,3,10,13,17,8,16,21,25,5,14,18,19,6,9,15,19,8,16,21,25,8,16,21,25,7,9,12,14,-,-,-,-,-,-,-,-,65,31,15,92,18,6,56,5,0.5,0.3,91,8,6,53,0.58,-,6
2021/2022,A1,Regular_Season,1st,4,-,27,3/11/2021,20:30,1037,10760,C,Gioiella Prisma Taranto,Taranto,1,3,7,12,16,19,8,16,21,25,8,14,19,25,7,16,21,23,5,10,13,16,8,16,21,25,5,11,14,17,8,16,21,25,-,-,-,-,-,-,-,-,52,11,-16,78,18,2,75,6,0.65,0.33,99,14,12,45,0.45,-,5
2021/2022,A1,Regular_Season,1st,4,-,27,3/11/2021,20:30,1037,10760,O,Sir Safety Conad Perugia,Perugia,3,1,8,16,21,25,7,12,16,19,7,16,21,23,8,14,19,25,8,16,21,25,5,10,13,16,8,16,21,25,5,11,14,17,-,-,-,-,-,-,-,-,66,24,9,97,22,6,60,2,0.63,0.27,89,3,5,48,0.54,-,12
2021/2022,A1,Regular_Season,1st,5,-,29,7/11/2021,18:00,2568,29867,C,Sir Safety Conad Perugia,Perugia,3,0,8,16,21,25,5,9,10,12,6,16,21,25,8,15,18,21,6,16,21,25,8,13,16,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,29,26,74,20,12,41,1,0.56,0.17,68,-,4,39,0.57,-,8
2021/2022,A1,Regular_Season,1st,5,-,29,7/11/2021,18:00,2568,29867,O,Itas Trentino,Trento,0,3,5,9,10,12,8,16,21,25,8,15,18,21,6,16,21,25,8,13,16,18,6,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,9,-19,52,11,1,54,12,0.39,0.17,62,4,8,25,0.4,-,4
2021/2022,A1,Regular_Season,1st,5,-,30,7/11/2021,18:00,1080,7281,C,Vero Volley Monza,Monza Vero Volley,3,0,7,16,21,25,8,15,20,22,4,16,21,25,8,14,18,21,8,16,21,25,5,10,15,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,26,13,74,16,5,50,3,0.38,0.18,87,6,7,45,0.52,-,9
2021/2022,A1,Regular_Season,1st,5,-,30,7/11/2021,18:00,1080,7281,O,Gas Sales Bluenergy Piacenza,PiacenzaYou,0,3,8,15,20,22,7,16,21,25,8,14,18,21,4,16,21,25,5,10,15,17,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,11,-10,61,11,3,58,5,0.53,0.29,87,5,9,28,0.32,-,7
2021/2022,A1,Regular_Season,1st,5,-,31,7/11/2021,15:30,4495,48992,C,Allianz Milano,Milano Power,0,3,8,16,18,26,6,15,21,28,7,11,19,26,8,16,21,28,8,14,19,23,5,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,19,4,77,20,6,69,2,0.58,0.36,101,4,9,42,0.42,-,7
